Wed Oct 27 02:54:07 2021    output.dat

         474150 function calls (473713 primitive calls) in 11.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.003    0.000    6.417    0.107 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:356(connect)
     1486    0.003    0.000    0.005    0.000 /usr/lib/python3.8/email/utils.py:51(_has_surrogates)
     1246    0.003    0.000    0.004    0.000 /usr/lib/python3.8/email/feedparser.py:78(readline)
     1246    0.003    0.000    0.008    0.000 /usr/lib/python3.8/email/feedparser.py:128(__next__)
     1426    0.003    0.000    0.014    0.000 /usr/lib/python3.8/email/_policybase.py:311(header_fetch_parse)
     1020    0.003    0.000    0.005    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/packages/six.py:1015(ensure_text)
      540    0.003    0.000    0.009    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:302(_idna_encode)
     1022    0.003    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:313(__call__)
     2755    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     1381    0.003    0.000    0.004    0.000 /usr/lib/python3.8/threading.py:249(__exit__)
     1381    0.003    0.000    0.004    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
      960    0.003    0.000    0.010    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
       31    0.003    0.000    0.010    0.000 script.py:58(remove_all_duplicates_in_ordered_list)
     1380    0.003    0.000    0.004    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/queue.py:15(_qsize)
     2046    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
       60    0.003    0.000    0.003    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      420    0.003    0.000    0.010    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:314(to_key_val_list)
     1321    0.003    0.000    0.004    0.000 /usr/lib/python3.8/threading.py:261(_is_owned)
      540    0.003    0.000    0.005    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:303(<listcomp>)
     2203    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     1702    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
       32    0.003    0.000    0.005    0.000 script.py:288(countListInstancesOrdered)
     1066    0.003    0.000    0.004    0.000 /usr/lib/python3.8/email/message.py:479(set_raw)
       60    0.003    0.000    0.080    0.001 /usr/lib/python3.8/netrc.py:23(__init__)
      180    0.003    0.000    0.230    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:730(should_bypass_proxies)
     2193    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
      420    0.003    0.000    0.021    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:50(merge_setting)
       60    0.002    0.000   10.609    0.177 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connectionpool.py:518(urlopen)
      120    0.002    0.000    0.002    0.000 /usr/lib/python3.8/socket.py:219(__init__)
       60    0.002    0.000    0.004    0.000 /usr/lib/python3.8/ssl.py:1298(_real_close)
       60    0.002    0.000    0.069    0.001 /usr/lib/python3.8/netrc.py:32(_parse)
     1893    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       60    0.002    0.000   11.021    0.184 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:626(send)
     2100    0.002    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:60(<genexpr>)
       60    0.002    0.000    0.029    0.000 /usr/lib/python3.8/http/client.py:1254(_send_request)
     1235    0.002    0.000    3.948    0.003 {method 'readline' of '_io.BufferedReader' objects}
       60    0.002    0.000    0.014    0.000 /usr/lib/python3.8/ssl.py:371(match_hostname)
       60    0.002    0.000    0.011    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:444(prepare_headers)
      420    0.002    0.000    0.028    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:42(__init__)
      240    0.002    0.000    0.015    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:274(_normalize_host)
     1087    0.002    0.000    0.004    0.000 {built-in method builtins.any}
      900    0.002    0.000    0.066    0.000 /usr/lib/python3.8/shlex.py:101(get_token)
       60    0.002    0.000    2.363    0.039 /usr/lib/python3.8/ssl.py:983(_create)
      840    0.002    0.000    0.003    0.000 /usr/lib/python3.8/_collections_abc.py:676(items)
       60    0.002    0.000    0.021    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/ssl_.py:250(create_urllib3_context)
     1525    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     1982    0.002    0.000    0.002    0.000 /usr/lib/python3.8/urllib/parse.py:99(_noop)
       60    0.002    0.000   10.490    0.175 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connectionpool.py:357(_make_request)
      300    0.002    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:932(__or__)
        3    0.002    0.001    0.006    0.002 {built-in method builtins.print}
      180    0.002    0.000    0.003    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:244(_remove_path_dot_segments)
       60    0.002    0.000    0.009    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:231(extend)
     1507    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
     1022    0.002    0.000    0.002    0.000 /usr/lib/python3.8/enum.py:631(__new__)
     1080    0.002    0.000    0.005    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:413(ensure_type)
       60    0.002    0.000    0.201    0.003 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:430(prepare_request)
      964    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
       60    0.002    0.000    0.091    0.002 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:175(get_netrc_auth)
      240    0.002    0.000    0.010    0.000 /usr/lib/python3.8/email/message.py:564(get_content_type)
     1474    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       50    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      420    0.002    0.000    0.014    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:221(putheader)
        1    0.002    0.002    0.002    0.002 /usr/lib/python3.8/multiprocessing/synchronize.py:50(__init__)
     1324    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
     1066    0.002    0.000    0.002    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
      180    0.002    0.000    0.003    0.000 /usr/lib/python3.8/encodings/idna.py:147(encode)
       60    0.002    0.000    0.024    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connectionpool.py:168(__init__)
        2    0.002    0.001    8.433    4.216 script.py:159(streamerToFollowersToStreamers)
     1381    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
       60    0.002    0.000    0.011    0.000 /usr/lib/python3.8/email/message.py:459(<listcomp>)
       60    0.002    0.000   10.758    0.179 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:394(send)
       60    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/poolmanager.py:78(_default_key_normalizer)
      660    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/queue.py:21(_get)
       60    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      360    0.001    0.000    0.002    0.000 /usr/lib/python3.8/http/cookiejar.py:1219(vals_sorted_by_key)
     1126    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:187(__iter__)
      480    0.001    0.000    0.005    0.000 /usr/lib/python3.8/_collections_abc.py:664(__contains__)
      660    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/queue.py:18(_put)
     1246    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
     1126    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
     1381    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     1080    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
       60    0.001    0.000    3.546    0.059 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/connection.py:38(create_connection)
      840    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:223(<genexpr>)
      203    0.001    0.000    3.951    0.019 /usr/lib/python3.8/socket.py:655(readinto)
       60    0.001    0.000    0.001    0.000 {function socket.close at 0x7f10bfe70b80}
      780    0.001    0.000    0.023    0.000 {method 'join' of 'bytes' objects}
       60    0.001    0.000    4.026    0.067 /usr/lib/python3.8/http/client.py:300(begin)
      240    0.001    0.000    0.002    0.000 /usr/lib/python3.8/http/cookiejar.py:1258(__init__)
     1050    0.001    0.000    0.001    0.000 {method 'rstrip' of 'bytes' objects}
      203    0.001    0.000    3.948    0.019 /usr/lib/python3.8/ssl.py:1230(recv_into)
       60    0.001    0.000    0.059    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:358(prepare_url)
      240    0.001    0.000    0.002    0.000 /usr/lib/python3.8/email/message.py:29(_splitparam)
       60    0.001    0.000    0.004    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/response.py:195(__init__)
      420    0.001    0.000    0.002    0.000 /usr/lib/python3.8/http/client.py:1256(<genexpr>)
      123    0.001    0.000    0.004    0.000 /usr/lib/python3.8/posixpath.py:228(expanduser)
       60    0.001    0.000    0.005    0.000 /usr/lib/python3.8/http/client.py:1052(putrequest)
      360    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:963(check_header_validity)
      240    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/timeout.py:102(__init__)
      487    0.001    0.000    0.005    0.000 {built-in method builtins.next}
      960    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       60    0.001    0.000    3.946    0.066 /usr/lib/python3.8/http/client.py:267(_read_status)
      180    0.001    0.000    0.006    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:508(cookiejar_from_dict)
      180    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:91(__new__)
     1025    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      120    0.001    0.000    0.013    0.000 /usr/lib/python3.8/http/cookiejar.py:1677(extract_cookies)
      241    0.001    0.000    0.001    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
       60    0.001    0.000   11.377    0.190 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:470(request)
       60    0.001    0.000    0.001    0.000 {built-in method today}
      969    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
