User,Games,language
Tuli_acosta,"['Call of Duty: Mobile', 'Just Chatting', 'Grand Theft Auto V', 'Food & Drink', 'PUBG Mobile']",Spanish
TwitchRivals,"['Call of Duty: Warzone', 'League of Legends', 'VALORANT', 'Fortnite', 'Minecraft']",English
VALORANT,['VALORANT'],English
VEGETTA777,[],Spanish
Vicens,"['Fortnite', 'Clash Royale', 'Grand Theft Auto V', 'Rust', 'Just Chatting']",Spanish
VioletaG,"['Minecraft', 'Just Chatting', 'Grand Theft Auto V', 'Rust', 'DayZ']",Spanish
WARDELL,"['valorant', 'VALORANT', 'Escape From Tarkov', 'Just Chatting', 'Fitness & Health']",English
WankilStudio,"['Valheim', 'Minecraft', 'PUBG: BATTLEGROUNDS', 'Counter-Strike: Global Offensive', 'Just Chatting']",French
WilburSoot,"['Minecraft', 'Just Chatting', 'GeoGuessr', 'Rust', 'Phasmophobia']",English
Willyrex,[],Spanish
XEWER,"['Fortnite', 'Slots', 'Apex Legends', 'Just Chatting', 'Grand Theft Auto V']",French
Yassuo,"['League of Legends', 'Slots', 'VALORANT', 'Just Chatting', 'Apex Legends']",English
YoDa,"['League of Legends', 'New World', 'Grand Theft Auto V', 'Just Chatting', 'Sea of Thieves']",Portuguese
Zeling,"['League of Legends', 'Just Chatting', 'Minecraft', 'Rust', 'ARK: Survival Evolved']",Spanish
ZeratoR,"['New World', 'World of Warcraft', 'TrackMania', 'VALORANT', 'Worms W.M.D']",French
a60426042,"['League of Legends', 'Just Chatting', 'Teamfight Tactics', 'Darkest Dungeon II', 'Battlerite Royale']",Korean
aXoZer,"['Minecraft', 'Just Chatting', 'Grand Theft Auto V', 'Twitch Plays', 'Fall Guys: Ultimate Knockout']",Spanish
aba4647,"['League of Legends', 'Just Chatting', 'World of Warcraft', 'Naraka: Bladepoint', 'StarCraft']",Korean
academy,['League of Legends'],English
aceu,"['Apex Legends', 'VALORANT', 'Escape From Tarkov', 'Just Chatting', 'Dark Souls III']",English
actingliketommy,"['Fortnite', 'Just Chatting', 'Pools, Hot Tubs, and Beaches']",English
adolfz,"['FIFA 21', 'FIFA 22', 'Rocket League', 'Grand Theft Auto: San Andreas', 'Call of Duty: Black Ops Cold War']",Portuguese
aduck09,"['Just Chatting', 'Omori', 'Minecraft', 'Skul: The Hero Slayer', 'Green Hell']",Korean
agueppo,"['Just Chatting', 'League of Legends', '7 Days to Die', 'Green Hell', 'It Takes Two']",Korean
ailee_official,"[""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Just Chatting', 'Phasmophobia', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Gartic Phone']",Korean
aimsey,"['Minecraft', 'Just Chatting', 'Roblox', 'Counter-Strike: Global Offensive', 'Life is Strange']",English
ajehr,"['Talk Shows & Podcasts', 'The Binding of Isaac: Afterbirth', 'Games + Demos', 'Lost Judgment', 'Miitopia']",Korean
akakzldzhd,"['Just Chatting', 'League of Legends', 'The Legend of Zelda: Breath of the Wild', 'StarCraft', 'Pokémon Sword/Shield']",Korean
akvl1229,"['Just Chatting', 'Minecraft']",Korean
alanzoka,"['Just Chatting', 'Rocket League', 'Red Dead Redemption 2', 'Escape From Tarkov', 'Yakuza: Like a Dragon']",Portuguese
albralelie,"['Apex Legends', 'League of Legends', 'VALORANT', 'Escape From Tarkov', 'Halo Infinite']",English
alelu,"['Apex Legends', 'Escape From Tarkov', 'VALORANT', ""Tom Clancy's Rainbow Six Siege"", 'Stardew Valley']",Japanese
alfrea,"['League of Legends', 'Escape From Tarkov', 'Just Chatting', 'Apex Legends', 'Path of Exile']",Japanese
alstlr0215,"['League of Legends', 'LOST ARK', 'StarCraft', 'Just Chatting', 'Tekken 7']",Korean
aminematue,"['Grand Theft Auto V', 'Just Chatting', 'League of Legends', 'The Legend of Zelda: Breath of the Wild', 'FIFA 22']",French
amouranth,"['ASMR', 'Just Chatting', 'Pools, Hot Tubs, and Beaches', 'Just Dance 2021', 'Mario Kart 8']",English
ao_o5,"['Just Chatting', 'League of Legends', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Music', ""Tom Clancy's Rainbow Six Siege""]",Korean
aparkha,"['Apex Legends', 'Raft', 'Escape From Tarkov', 'Rust', 'Super People']",Korean
apexerpinky,"['Apex Legends', 'VALORANT', 'Overwatch', 'Fortnite']",Japanese
apryze,"['Apex Legends', 'Science & Technology', 'Pummel Party', 'It Takes Two', 'VALORANT']",English
aram4519,"['League of Legends', 'StarCraft', ""Pop'n Music"", 'They Are Billions', 'Just Chatting']",Korean
aroyitt,"['Just Chatting', 'Minecraft', 'Rust', 'DayZ', 'ARK: Survival Evolved']",Spanish
ars4321,"['LOST ARK', 'League of Legends', 'Diablo II: Resurrected', 'Ib', 'Teamfight Tactics']",Korean
ashleykang,"['League of Legends', 'Dark Souls III', 'Just Chatting', 'Chrono Trigger', 'Ori and the Will of the Wisps']",English
astellkr,['VALORANT'],Japanese
asunaweeb,"['VALORANT', 'Overwatch', 'Counter-Strike: Global Offensive', 'League of Legends']",English
auronplay,"['Just Chatting', 'Minecraft', 'Grand Theft Auto V', 'Rust', 'Among Us']",Spanish
awesamdude,"['Minecraft', 'Just Chatting', 'Pummel Party', 'Monopoly Plus', 'Mario Kart 8 Deluxe']",English
aydan,"['Call of Duty: Warzone', 'Call of Duty: Vanguard', 'Call Of Duty: Modern Warfare', 'Call of Duty: Black Ops Cold War', 'Fortnite']",English
baalzebb,"['League of Legends', 'Just Chatting', 'Tekken 7', 'Skul: The Hero Slayer', 'Inscryption']",Korean
bakzera,"['Garena Free Fire', 'Paladins', 'Back 4 Blood', 'It Takes Two', 'Call of Duty: Warzone']",Portuguese
bang,"['Teamfight Tactics', 'League of Legends']",Korean
bbonge_,"['Just Chatting', 'League of Legends', 'LOST ARK', 'Eternal Return: Black Survival', 'Eternal Return']",Korean
bbonyoss,"['Teamfight Tactics', 'Just Chatting']",Korean
bbyongluv,"['VALORANT', 'Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Valheim', 'New World']",Korean
bebe872,"['Teamfight Tactics', 'Pokémon Unite', 'StarCraft', 'StarCraft: Remastered', 'Pokémon Sword/Shield']",English
benjyfishy,"['Fortnite', 'Rocket League', 'Chess', 'Rust', 'GeoGuessr']",English
berry0314,"['Just Chatting', 'League of Legends', 'Animal Crossing: New Horizons', 'Art', 'Just Dance 2021']",Korean
beryl0202,"['LOST ARK', 'Genshin Impact', 'Honkai Impact 3rd', 'Blue Archive', 'Guardian Tales']",Korean
beyou0728,"['League of Legends', 'Just Chatting', 'Overwatch', 'Eternal Return: Black Survival', 'Teamfight Tactics']",Korean
bgirl_0,"['Just Chatting', 'LOST ARK', 'Minecraft', 'League of Legends', 'Among Us']",Korean
bighead033,"['Escape From Tarkov', 'Just Chatting', 'Apex Legends', 'Back 4 Blood', 'League of Legends']",Korean
biyin_,"['Minecraft', 'Grand Theft Auto V', 'Just Chatting', 'Rust', 'Among Us']",Spanish
bjshaco,"['League of Legends', 'Dungeon Fighter Online', 'LOST ARK', 'Just Chatting', 'DJMAX Respect']",Korean
blinkx_,"['Just Chatting', 'Apex Legends', 'ASMR', 'Final Fantasy XIV Online', 'The Witcher 3: Wild Hunt']",English
bokugaimodesuyo,"['Apex Legends', 'Just Chatting', 'Among Us', 'Minecraft', 'Terraria']",Japanese
borinyam,"['Teamfight Tactics', 'Just Chatting', 'League of Legends', 'LOST ARK', 'StarCraft']",Korean
botezlive,"['Just Chatting', 'Chess', 'VALORANT', 'Poker', 'Among Us']",English
box930205,"['Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'The Binding of Isaac: Afterbirth', 'Skul: The Hero Slayer', 'ALTF4']",Korean
boxbox,"['Teamfight Tactics', 'League of Legends', 'Rust', 'Grand Theft Auto V', 'VALORANT']",English
brtt,"['League of Legends', 'Just Chatting', 'Dota 2', 'Age of Empires IV', 'League of Legends: Wild Rift']",Portuguese
buckefps,"['Fortnite', 'Just Chatting', 'Escape From Tarkov', 'GeoGuessr', 'Rust']",English
buddha,"['Grand Theft Auto V', 'Rust', 'Slots', 'VALORANT', 'Poker']",English
byeongbyeongbyeong,"['Just Chatting', 'League of Legends', 'It Takes Two', 'Tabletop Simulator', 'Skul: The Hero Slayer']",Korean
cabochardlol,['League of Legends'],French
caedrel,"['League of Legends', 'Bloons TD 6', 'Divinity: Original Sin II', 'Just Chatting', 'Halo 3']",English
calango,"['Just Chatting', 'osu!', 'Escape From Tarkov', 'Counter-Strike: Global Offensive', 'Dark Souls III']",Portuguese
canna,"['League of Legends', 'PUBG: BATTLEGROUNDS', 'Dungeon Fighter Online', 'Bendy and the Ink Machine', 'Crazy Arcade']",Korean
casimito,"['Just Chatting', 'Sports', 'FIFA 21', 'Grand Theft Auto: San Andreas', 'FIFA 22']",Portuguese
cerross,['League of Legends'],Japanese
ch960116,"['Art', 'Just Chatting', 'Games + Demos', 'PUBG: BATTLEGROUNDS', 'League of Legends']",Korean
chaeriri,"[""Tom Clancy's Rainbow Six Siege"", 'Just Chatting', 'Overwatch', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'League of Legends']",Korean
cheezestick58,"['League of Legends', 'StarCraft', 'Twelve Minutes', 'Crab Game', 'PUBG: BATTLEGROUNDS']",Korean
cherrypach,"['Just Chatting', 'League of Legends', 'LOST ARK', 'Music', 'Apex Legends']",Korean
chimin941214,"['League of Legends', 'Just Chatting', 'ARK: Survival Evolved', 'Sekiro: Shadows Die Twice', 'Portal 2']",Korean
chodan_,"['Just Chatting', 'League of Legends', 'Doki Doki Literature Club Plus!', 'Outlast', 'PUBG: BATTLEGROUNDS']",Korean
chy0715,"['Just Chatting', 'League of Legends', 'Apex Legends', 'Fall Guys: Ultimate Knockout', 'Dead by Daylight']",Korean
cidcidoso,"['Just Chatting', 'Counter-Strike: Global Offensive', 'Tabletop RPGs', 'Among Us', 'RPG Adventures']",Portuguese
cloakzy,"['Call of Duty: Warzone', 'Apex Legends', 'Rust', 'VALORANT', 'Escape From Tarkov']",English
clozer_t1,['League of Legends'],Korean
clutch_fii,"['VALORANT', 'Escape From Tarkov', 'Apex Legends', 'Just Chatting', 'Minecraft']",Japanese
collet11,"['Just Chatting', 'Uma Musume Pretty Derby', 'Dungeon Fighter Online', 'League of Legends', 'Diablo II: Resurrected']",Korean
coscu,"['League of Legends', 'Just Chatting', 'Slots', 'New World', 'Special Events']",Spanish
cpt_sama,[],Korean
cr_rion,"['VALORANT', 'Apex Legends', 'Ark: Survival Evolved', 'Music', 'Just Chatting']",Japanese
crylixblooom,"['Apex Legends', 'VALORANT', 'Escape from Tarkov', 'Minecraft', 'Just Chatting']",English
cyr,"['Grand Theft Auto V', 'Just Chatting', 'Rust', 'Sea of Thieves', ""Tom Clancy's Rainbow Six Siege""]",English
d_obby,"['League of Legends', 'StarCraft', 'Just Chatting', 'Escape From Tarkov', 'LOST ARK']",Korean
daiantsuda514,"['Apex Legends', 'FIFA 22', 'Watch Parties']",Japanese
dakchyo,"['LOST ARK', 'Naraka: Bladepoint', 'MapleStory', 'Ni no Kuni: Cross Worlds', 'Odin: Valhalla Rising']",Korean
daltoosh,"['Apex Legends', 'PGA TOUR 2K21', 'Vampire: The Masquerade - Bloodhunt', 'Splitgate', 'Scavengers']",English
darumaisgod,"['VALORANT', ""Tom Clancy's Rainbow Six Siege"", 'Super Smash Bros. Ultimate', 'Pokémon Unite', 'Street Fighter V']",Japanese
dasoku_aniki,"['Apex Legends', 'Just Chatting', 'Talk Shows & Podcasts', 'Food & Drink', ""I'm Only Sleeping""]",Japanese
dda_ju,"['LOST ARK', 'Just Chatting', 'Eternal Return: Black Survival', 'League of Legends', 'Minecraft']",Korean
ddahyoni,"['League of Legends', 'LOST ARK', 'Hearthstone', 'StarCraft', 'Eternal Return: Black Survival']",Korean
ddony1,"['Eternal Return', 'Eternal Return: Black Survival', 'Just Chatting', 'Cookie Run: Kingdom', 'Food & Drink']",Korean
deercheerup,"['Just Chatting', 'Counter-Strike: Global Offensive', 'Watch Parties', 'VALORANT', 'Cuphead']",Portuguese
dep_ow,"['VALORANT', 'Apex Legends']",Japanese
detectiveconan_,['Teamfight Tactics'],Korean
detonator_robin,"['Escape From Tarkov', 'Minecraft', 'VALORANT', 'Apex Legends', 'Just Chatting']",Japanese
dfm_evi_lol,['League of Legends'],Japanese
diegosaurs,"['Apex Legends', 'Just Chatting', 'DOOM Eternal', 'Fallout 4', 'Dead by Daylight']",English
dkdlel801,"['Just Chatting', 'Cookie Run: Kingdom', 'Minecraft', 'Games + Demos', 'Undertale']",Korean
dkwl025,"['Just Chatting', 'Minecraft', 'Games + Demos', 'Talk Shows & Podcasts', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Korean
dltjdwls5507,"['League of Legends', 'Just Chatting', 'Travel & Outdoors']",Korean
dmf_kyochan,"['Apex Legends', 'Escape From Tarkov', 'VALORANT', 'Ark: Survival Evolved', 'Just Chatting']",Japanese
dmglgl78,"['League of Legends', 'Sudden Attack', 'Overwatch']",Korean
dogdog,"['Hearthstone', 'Teamfight Tactics', 'Slay the Spire', 'VALORANT', 'Just Chatting']",English
doigby,"['Minecraft', 'Fortnite', 'League of Legends', 'Just Chatting', 'Mario Kart 8']",French
dopa24,"['League of Legends', 'StarCraft', 'Just Chatting', 'Games + Demos']",Korean
doublelift,"['League of Legends', 'New World', 'Path of Exile', 'VALORANT', 'World of Warcraft']",English
dreamingyume,"['Just Chatting', 'Minecraft', 'Music', 'League of Legends', ""I'm Only Sleeping""]",Korean
dreamwastaken,['Minecraft'],English
drlee_kor,"['World of Warcraft', 'Path of Exile', 'Diablo II: Resurrected', 'Diablo II', 'League of Legends']",Korean
dropped,"['Apex Legends', 'It Takes Two', 'Battlefield 4', 'Fall Guys: Ultimate Knockout', 'Little Nightmares']",English
drututt,"['League of Legends', 'The Binding of Isaac: Afterbirth', 'Call of Duty: Warzone', 'Call of Duty: Black Ops Cold War', 'Raid: Shadow Legends']",English
dtn_mukai,"['Apex Legends', 'VALORANT', 'Just Chatting', 'Pokémon Unite', 'Overwatch']",Japanese
dua3362,"['LOST ARK', 'Just Chatting', 'Eternal Return: Black Survival', 'League of Legends', 'Stardew Valley']",Korean
dunizuni,"['Teamfight Tactics', 'Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Legion TD 2', 'StarCraft']",Korean
dunkstream,"['Guilty Gear: Strive', 'Just Chatting', 'Donkey Kong 64', 'It Takes Two', 'Resident Evil']",English
dzukill,['League of Legends'],English
e_saem,"['Just Chatting', 'LOST ARK', 'Danganronpa 2: Goodbye Despair', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Danganronpa Another Episode: Ultra Despair Girls']",Korean
edward2065,"['The Escapists', 'Oxygen Not Included', 'Just Chatting', 'Reventure', 'Poly Bridge 2']",Korean
effort,[],Korean
elded,"['Call of Duty: Warzone', 'ARK: Survival Evolved', 'Just Chatting', 'Minecraft', ""Tom Clancy's Rainbow Six Siege""]",Spanish
emiru,"['League of Legends', 'Just Chatting', 'Super Mario 64', 'Eternal Return: Black Survival', 'Eternal Return']",English
erenjjing,"['Just Chatting', 'Dungeon Fighter Online', 'League of Legends', 'Press Ctrl', 'Royal Crown']",Korean
esstree,"['Minecraft', 'Just Chatting', 'League of Legends', 'Teamfight Tactics', 'Pokémon Sword/Shield']",Korean
euriece,"['Apex Legends', 'Just Chatting', 'VALORANT', 'Rust', 'Food & Drink']",English
faide,"['Apex Legends', 'DayZ', 'Slither.io']",English
faker,"['League of Legends', 'StarCraft', 'Jump King']",Korean
fantabobshow,"['Pathfinder: Kingmaker', 'Immortals Fenyx Rising', 'Starsector', 'Special Events', 'Talk Shows & Podcasts']",French
fer,"['Counter-Strike: Global Offensive', 'Bloons TD 6', 'Just Chatting', 'F1 2020', 'It Takes Two']",Portuguese
fgcounter,"['Just Chatting', 'Minecraft', 'Fall Guys: Ultimate Knockout', 'Jump King', 'DJMAX Respect']",Korean
flamekr,"['League of Legends', 'LOST ARK', 'StarCraft', 'Just Chatting', 'Tekken 7']",Korean
flowergam0326,"['Music', 'Just Chatting', 'VALORANT', 'Apex Legends', 'Eternal Return: Black Survival']",Korean
flowervin,"['Just Chatting', 'LOST ARK', 'Overwatch', ""Don't Starve Together"", 'StarCraft']",Korean
flurry1989,"['Hearthstone', 'LOST ARK', 'StarCraft', 'Super Mario Maker 2', 'League of Legends']",Korean
fnxLNTC,"['Counter-Strike: Global Offensive', 'VALORANT', 'Just Chatting', 'Poker', 'Watch Parties']",Portuguese
forever,"['Minecraft', 'Just Chatting', 'Chess.com']",Portuguese
forsen,"['Minecraft', 'Just Chatting', 'Grand Theft Auto V', 'Counter-Strike: Global Offensive', 'Jump King']",English
fps_shaka,"['Escape From Tarkov', 'Apex Legends', 'VALORANT', 'Among Us', 'Minecraft']",Japanese
fr_zod,"['Apex Legends', 'Just Chatting', 'Call of Duty: Warzone', 'ALTF4', 'Road 96']",French
frozen2065,"['League of Legends', 'Just Chatting', 'League of Legends: Wild Rift', 'Pokémon Unite', 'Phasmophobia']",Korean
fuslie,"['VALORANT', 'Just Chatting', 'Grand Theft Auto V', 'Rust', 'Among Us']",English
gafallen,"['Counter-Strike: Global Offensive', 'Dota 2', 'PUBG Mobile', 'Standoff 2', 'Fortnite']",Portuguese
gemaxgema,[],Japanese
genburten,"['Apex Legends', 'Battlefield 2042', 'Battlefield V', 'Rocket League', 'VALORANT']",English
gent,"['Apex Legends', 'PGA TOUR 2K21', 'Resident Evil Village', 'World of Warships', 'Valheim']",English
ggumong,"['Just Chatting', 'Animal Crossing: New Horizons', 'Minecraft', 'MapleStory', 'Super Mario Party']",Korean
gjtn9664,"['League of Legends', 'LOST ARK', 'Just Chatting', 'StarCraft', 'Outlast']",Korean
gongparipa,"['Just Chatting', 'Eternal Return: Black Survival', 'League of Legends', 'StarCraft', 'Overwatch']",Korean
gosegugosegu,"['Just Chatting', 'VRChat', 'Minecraft', 'Twelve Minutes', 'Novena Diabolos']",Korean
gotaga,"['Call of Duty: Warzone', 'Apex Legends', 'FIFA 22', 'Teamfight Tactics', 'Pokémon Emerald']",French
gratis150ml,"['League of Legends', 'Teamfight Tactics', 'Just Chatting', 'New World', 'Valheim']",Portuguese
guilty1223,"['Apex Legends', 'Escape From Tarkov', 'Kingdom Hearts HD 1.5 + 2.5 ReMIX', 'Minecraft', 'Ark: Survival Evolved']",Japanese
gumayusi,"['League of Legends', 'StarCraft', 'Teamfight Tactics', 'Twelve Minutes', 'Poppy Playtime']",Korean
gutitubo,"['Minecraft', 'Rocket League', 'Among Us', 'Just Chatting', 'Apex Legends']",Japanese
h0270,"[""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Among Us', 'Super People', 'Just Chatting', 'Games + Demos']",Korean
h3h3productions,"['Just Chatting', 'Half-Life: Alyx', 'Talk Shows & Podcasts']",English
h920103,"['LOST ARK', 'Just Chatting', 'League of Legends', 'Eternal Return: Black Survival', 'VALORANT']",Korean
hair_yeonhwa,"['LOST ARK', 'Just Chatting', 'Tekken 7', 'Resident Evil: Revelations', 'Forza Horizon 4']",Korean
handongsuk,"['LOST ARK', 'League of Legends', 'Teamfight Tactics', 'Just Chatting', 'Project Zomboid']",Korean
hanjoudesu,"['Apex Legends', 'Lost Egg 2: Be together', 'Call of Duty: Black Ops Cold War', 'Idol Manager', 'Undertale']",Japanese
hannahxxrose,"['Minecraft', 'Pummel Party', 'Just Chatting', 'Fortnite', 'Roblox']",English
hanryang1125,"['Escape From Tarkov', 'Just Chatting', 'League of Legends', 'Diablo II: Resurrected', 'Dead by Daylight']",Korean
hanssama,"['League of Legends', 'Genshin Impact']",English
he0901,"['League of Legends', 'Just Chatting', 'LOST ARK', 'Eternal Return: Black Survival', 'Sudden Attack']",Korean
heavenly_narin,"['Teamfight Tactics', 'League of Legends', 'Just Chatting', 'Gartic Phone', 'Raft']",Korean
hejin0_0,"['League of Legends', 'Just Chatting', 'Genshin Impact', 'Eternal Return: Black Survival', 'Teamfight Tactics']",Korean
heyst1000,"['League of Legends', 'Just Chatting', 'LOST ARK', 'MapleStory', 'Kageroh: Shadow Corridor']",Korean
hiswattson,['Apex Legends'],English
hm716,"['League of Legends', 'Just Chatting', 'Games + Demos', 'Stardew Valley', 'Miitopia']",Korean
holonsc2,"['Among Us', 'Minecraft', 'Pogostuck: Rage With Your Friends', 'Dead by Daylight', 'Just Chatting']",Japanese
hongja1027,"['Just Chatting', 'LOST ARK', 'League of Legends', 'Apex Legends', 'Eternal Return: Black Survival']",Korean
hptgrm,"['Minecraft', 'Just Chatting', 'Games + Demos', 'Terraria', 'Game Builder Garage']",Korean
hwkang2,"['LOST ARK', 'League of Legends', 'Tekken 7', 'Just Chatting', 'StarCraft']",Korean
hyeondini,"['League of Legends', 'Teamfight Tactics', 'Just Chatting', 'Music', 'Raft']",Korean
iam_xq,"['VALORANT', 'Just Chatting', 'Battlefield 2042', 'Apex Legends', 'Naraka: Bladepoint']",Japanese
ibai,"['Just Chatting', 'Minecraft', 'Sports', 'League of Legends', 'Grand Theft Auto V']",Spanish
iiTzTimmy,"['Apex Legends', 'VALORANT', 'Rust', 'Escape From Tarkov', ""Tom Clancy's Rainbow Six Siege""]",English
iitztimmy,"['Apex Legends', 'VALORANT', 'Rust', 'Escape From Tarkov', 'Counter-Strike: Global Offensive']",English
ikeepittaco,"['League of Legends', 'Eternal Return', 'Alien: Isolation', 'Eternal Return: Black Survival', 'It Takes Two']",English
im_slpx,"['Apex Legends', 'Dead by Daylight', 'Among Us', 'Just Chatting', 'Phasmophobia']",Japanese
inecr7024,"['League of Legends', 'LOST ARK', 'Just Chatting', 'Sudden Attack', 'Tekken 7']",Korean
inoxtag,"['Special Events', 'Just Chatting', 'Minecraft', 'FIFA 21', 'Z1: Battle Royale']",French
insec13,"['League of Legends', 'LOST ARK', 'Teamfight Tactics', 'World of Warcraft', 'Dungeon Fighter Online']",Korean
iq200yukaf,['Apex Legends'],Japanese
ironmouse,"['Just Chatting', 'Minecraft', 'Resident Evil Village', 'Resident Evil 7 biohazard', 'Resident Evil 5']",English
itsHafu,"['VALORANT', 'Among Us', 'Hearthstone', 'Just Chatting', 'Minecraft']",English
itsRyanHiga,"['Just Chatting', 'VALORANT', 'Rust', 'Minecraft', 'Valorant']",English
itsmejanna,"['Just Chatting', 'League of Legends', 'LOST ARK', 'Eternal Return: Black Survival', 'Diablo II: Resurrected']",Korean
j1nu6734,[],Korean
jacksepticeye,"['Rust', 'Among Us', 'VALORANT', 'Minecraft', 'It Takes Two']",English
jaewon4915,"['Just Chatting', 'League of Legends', 'Overwatch', 'Games + Demos', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Korean
jankos,"['League of Legends', 'Resident Evil Village', 'Visage', 'Back 4 Blood', 'Resident Evil 7 biohazard']",English
jasper7se,"['VALORANT', 'Escape From Tarkov', 'Apex Legends', 'Just Chatting', 'League of Legends']",Japanese
jcw970,"['League of Legends', 'LOST ARK', 'Just Chatting', 'Pokémon Unite', 'Warcraft III']",Korean
jdm2088,"['Minecraft', 'League of Legends', 'LOST ARK', 'Just Chatting', 'Gran Saga']",Korean
jean_mago,"['League of Legends', 'VALORANT', 'Gang Beasts', 'Just Chatting', 'Realm Royale']",Portuguese
jingburger,"['Just Chatting', 'VRChat', 'Music', 'League of Legends', 'Minecraft']",Korean
jinjalim,"['Just Chatting', 'Elsword', 'Tales Runner', 'Minecraft', 'Grand Theft Auto V']",Korean
jinu6734,"['Just Chatting', 'League of Legends', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'LOST ARK', 'Minecraft']",Korean
jiudau,"['LOST ARK', 'League of Legends', 'Escape From Tarkov', 'Minecraft', 'Battlefield V']",Korean
jlamaru,"['Just Chatting', 'League of Legends', 'Grand Theft Auto V', 'Rocket League', 'VALORANT']",French
jltomy,"['Grand Theft Auto V', 'League of Legends', 'Just Chatting', 'Rust', 'Special Events']",French
johnny3047258,"['LOST ARK', 'MapleStory']",Korean
johnwolfe,"['Dead by Daylight', 'Just Chatting', 'Hunt: Showdown', 'Stardew Valley', 'Resident Evil Village']",English
jovirone,"['League of Legends', 'New World', 'Dragon Ball FighterZ', 'Just Chatting', 'Bloodborne']",Portuguese
jschlatt,[],English
ju10506,"['Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'League of Legends', 'Dead by Daylight', ""Tom Clancy's Rainbow Six Siege""]",Korean
juansguarnizo,"['Just Chatting', 'Grand Theft Auto V', 'Minecraft', 'Rust', 'Call of Duty: Warzone']",Spanish
jukes,"['League of Legends', 'Just Chatting', 'Teamfight Tactics', 'Tibia', 'World of Warcraft']",Portuguese
julien,"['Dead by Daylight', 'Just Chatting', 'Valheim', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Fall Guys: Ultimate Knockout']",English
jungryeok,"['Just Chatting', 'League of Legends', 'VALORANT', 'Teamfight Tactics', 'Skul: The Hero Slayer']",Korean
junior27015,"['VALORANT', 'F1 2021', 'Art', 'Food & Drink']",Japanese
junsst,"['Teamfight Tactics', 'Just Chatting', 'League of Legends', 'Legion TD 2', 'Little Nightmares II']",Korean
k1ng,"['Fortnite', 'Counter-Strike: Global Offensive', 'Call of Duty: Warzone', 'Just Chatting', 'Special Events']",Spanish
k3soju,"['Teamfight Tactics', 'League of Legends', 'VALORANT', 'Legends of Runeterra', 'Eternal Return: Black Survival']",English
k4sen,"['Apex Legends', 'VALORANT', 'Winning Post 9: 2021', 'League of Legends', 'Talk Shows & Podcasts']",Japanese
kaito_hoso,['Just Chatting'],Korean
kanae_2434,"['VALORANT', 'Apex Legends', 'Eternal Return: Black Survival', ""Conqueror's Blade"", 'Valheim']",Japanese
kanetv8,"['Just Chatting', 'Jump King', 'Games + Demos', 'Catherine', 'ALTF4']",Korean
karasmai,"['League of Legends', 'Poker', 'Phasmophobia', 'Raid: Shadow Legends', ""Garry's Mod""]",English
karchez,"['Grand Theft Auto V', 'Just Chatting', 'Minecraft', 'Fall Guys: Ultimate Knockout', 'ROBLOX']",Spanish
karljacobs,"['Minecraft', 'Jackbox Party Packs', 'Just Chatting', 'Roblox', 'Gang Beasts']",English
karlnetwork,"['Gang Beasts', 'Golf With Your Friends', 'Just Chatting', 'Minecraft', 'Psychonauts 2']",English
kato1126,"['LOST ARK', 'Just Chatting', 'League of Legends', 'To the Moon', 'Poppy Playtime']",Korean
kato_junichi0817,"['Apex Legends', 'Dark Souls III', 'Ark: Survival Evolved', 'eBaseball Powerful Pro Yakyuu 2020', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Japanese
kawashima_of_legend,['League of Legends'],Japanese
keanelol,"['Teamfight Tactics', 'League of Legends', 'Auto Chess', 'Raid: Shadow Legends', 'Castlehold']",English
kennyS,"['Counter-Strike: Global Offensive', 'VALORANT', 'Call of Duty: Warzone', 'Aim Lab', 'Pummel Party']",English
killin9hit,"['Apex Legends', 'Escape From Tarkov', 'Just Chatting', 'VALORANT', 'Resident Evil Village']",Japanese
kimchi5863,[],Korean
kimddolbok,"['LOST ARK', 'Project Zomboid', 'League of Legends', 'Escape From Tarkov', 'Diablo II: Resurrected']",Korean
kimdduddi,"['League of Legends', 'LOST ARK', 'Just Chatting', 'Eternal Return: Black Survival', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Korean
kimdoe,"['League of Legends', 'Apex Legends', 'Food & Drink', 'Dead by Daylight', 'The Legend of Zelda: Breath of the Wild']",Korean
kimgapju,"['League of Legends', 'Just Chatting', 'StarCraft', 'Frostpunk', 'Twelve Minutes']",Korean
kimnamsoon,"['League of Legends', 'Just Chatting', 'Minecraft', 'VALORANT', ""Tom Clancy's Rainbow Six Siege""]",Korean
