User,Games,language
CodeMiko,"['Just Chatting', 'Grand Theft Auto V', 'Pools, Hot Tubs, and Beaches', 'Chess', 'Resident Evil Village']",English
ConnorEatsPants,"['Just Chatting', 'Minecraft', 'VALORANT', 'Mario Kart 8', 'PowerWash Simulator']",English
CooLifeGame,"['Grand Theft Auto V', 'Minecraft', 'Just Chatting', 'Teamfight Tactics', 'Rust']",Spanish
Corpse_Husband,"['Back 4 Blood', 'Friday the 13th: The Game', 'Left 4 Dead 2', 'THE GAME OF LIFE 2', 'Gang Beasts']",English
CrankGameplays,"['Resident Evil Village', 'Just Chatting', 'Among Us', 'Dead by Daylight', 'Minecraft']",English
CriticalRole,"['Dungeons & Dragons', 'Talk Shows & Podcasts', 'Just Chatting', 'The Elder Scrolls Online', 'Tabletop RPGs']",English
D3stri,"['Grand Theft Auto V', 'Fortnite', 'Rust', 'Minecraft', 'Among Us']",Spanish
DanTDM,"['Minecraft', 'Rust', 'Just Chatting', 'Pokémon Trading Card Game', 'Fortnite']",English
DavyJones,"['Call of Duty: Warzone', 'Sports', 'Minecraft', 'Just Chatting', 'Grand Theft Auto V']",Portuguese
Deujna,"['Just Chatting', 'Dead by Daylight', 'Animal Crossing: New Horizons', 'Among Us', 'Fall Guys: Ultimate Knockout']",French
Dilera,"['Call of Duty: Warzone', 'Grand Theft Auto V', 'Among Us', 'Phasmophobia', 'Resident Evil Village']",Portuguese
DisguisedToast,"['Just Chatting', 'Special Events']",English
Doigby,"['Minecraft', 'Fortnite', 'League of Legends', 'Mario Kart 8', 'Just Chatting']",French
Domingo,"['Just Chatting', 'Football Manager 2021', 'FIFA 21', 'Talk Shows & Podcasts', 'FIFA 22']",French
DreamAlt_,"['Minecraft', 'GeoGuessr']",English
DropsByPonk,"['Minecraft', 'Just Chatting', 'GeoGuessr', 'Potato Thriller']",English
EASPORTSFIFA,"['FIFA 21', 'FIFA 22']",English
ESL_CSGO,['Counter-Strike: Global Offensive'],English
ElMariana,"['Just Chatting', 'Call of Duty: Warzone', 'Minecraft', 'Rust', 'ROBLOX']",Spanish
ElSpreen,"['Just Chatting', 'Minecraft', 'Games + Demos', 'ROBLOX', ""Plants vs. Zombies 2: It's About Time""]",Spanish
EmadGG,"['Fortnite', 'Just Chatting', 'Call of Duty: Black Ops', 'Apex Legends', 'Call of Duty: Warzone']",English
Emiru,"['League of Legends', 'Just Chatting', 'Eternal Return: Black Survival', 'Eternal Return', 'Monopoly Plus']",English
Enviosity,"['Genshin Impact', 'Apex Legends', 'Hollow Knight', 'Phantom Abyss', 'Horizon Zero Dawn']",English
Eret,"['Minecraft', 'Undertale', 'Just Chatting', 'The Legend of Zelda: Breath of the Wild', 'Deltarune: Chapter 1']",English
EsfandTV,"['World of Warcraft', 'Grand Theft Auto V', 'Just Chatting', 'Final Fantasy XIV Online', 'Madden NFL 22']",English
Etoiles,"['Just Chatting', 'Mario Kart 8', 'TrackMania', 'Teamfight Tactics', 'FIFA 21']",French
FaZeSway,"['Fortnite', 'Just Chatting', 'Naruto Shippuden: Ultimate Ninja Storm 4', '7 Days to Die', 'Jump Force']",English
Faker,['League of Legends'],Korean
FarfadoxVEVO,"['Minecraft', 'Rust', 'Just Chatting', 'VRChat', 'Terraria']",Spanish
Felps,"['Just Chatting', 'Dead by Daylight', 'Beat Saber', 'Minecraft', 'Idle Slayer']",Portuguese
Fernanfloo,['Fortnite'],Spanish
Fextralife,"['New World', 'Apex Legends', 'The Elder Scrolls Online', 'Genshin Impact', 'Diablo II: Resurrected']",English
FlowPodcast,"['Talk Shows & Podcasts', 'Dota 2', 'Tabletop RPGs']",Portuguese
Foolish_Gamers,"['VALORANT', 'Minecraft', 'Just Chatting', 'PowerWash Simulator', 'Bloons TD 6']",English
Fortnite,['Fortnite'],English
Fresh,"['Fortnite', 'VALORANT', 'Rust', 'Apex Legends', 'Valheim']",English
Froggen,"['League of Legends', 'Bloons TD 6', 'Little Nightmares II', 'Portal 2', 'Doki Doki Literature Club Plus!']",English
Fundy,"['Minecraft', 'Just Chatting', 'Chess', 'Among Us', 'Subnautica: Below Zero']",English
G0ularte,"['Just Chatting', 'Minecraft', 'VRChat', 'Counter-Strike: Global Offensive', 'League of Legends']",Portuguese
Gabi,"['Just Chatting', 'Dead by Daylight', 'Talk Shows & Podcasts', 'Omori', 'Subnautica: Below Zero']",Portuguese
Gaules,"['Counter-Strike: Global Offensive', 'Among Us', 'War by Grow Games', 'Motorsport Manager', 'Suspects: Mystery Mansion']",Portuguese
Gemita,"['Just Chatting', 'Minecraft', 'VALORANT', 'Clash Royale', 'Grand Theft Auto V']",Spanish
GenshinImpactOfficial,['Genshin Impact'],English
GeorgeNotFound,"['Minecraft', 'Just Chatting', 'Among Us', 'SpeedRunners', ""Who's Your Daddy""]",English
