Tue Nov 16 20:12:31 2021    output.dat

         34696835 function calls (34665815 primitive calls) in 2745.143 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    69909    0.103    0.000    0.103    0.000 {method 'rpartition' of 'str' objects}
    69841    0.620    0.000    1.398    0.000 /usr/lib/python3.8/urllib/parse.py:417(urlsplit)
    69840    0.240    0.000    7.025    0.000 /usr/lib/python3.8/shlex.py:101(get_token)
    68054    0.089    0.000    0.089    0.000 {method 'pop' of 'dict' objects}
    65185    0.744    0.000    2.883    0.000 /usr/lib/python3.8/urllib/parse.py:366(urlparse)
    65184    0.185    0.000    0.185    0.000 {method 'search' of 're.Pattern' objects}
    65184    0.129    0.000    0.169    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:223(<genexpr>)
    65184    0.547    0.000    0.990    0.000 /usr/lib/python3.8/ssl.py:275(_dnsname_match)
    65184    0.247    0.000    0.370    0.000 /usr/lib/python3.8/_collections_abc.py:676(items)
    65184    0.123    0.000    0.123    0.000 /usr/lib/python3.8/_collections_abc.py:698(__init__)
    60528    0.130    0.000   74.084    0.001 {method 'join' of 'bytes' objects}
    60528    3.737    0.000    6.773    0.000 /usr/lib/python3.8/shlex.py:133(read_token)
    59682    0.156    0.000    0.239    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/tqdm/utils.py:330(<genexpr>)
    59442    0.102    0.000    0.102    0.000 {method 'rstrip' of 'bytes' objects}
    59442    0.266    0.000    1.312    0.000 /usr/lib/python3.8/urllib/parse.py:799(quote)
    59442    0.532    0.000    0.968    0.000 /usr/lib/python3.8/urllib/parse.py:870(quote_from_bytes)
    59433    0.083    0.000    0.083    0.000 {built-in method unicodedata.east_asian_width}
    55872    0.082    0.000    0.082    0.000 {method 'values' of 'collections.OrderedDict' objects}
    55872    0.600    0.000    1.940    0.000 /usr/lib/python3.8/queue.py:153(get)
    55872    0.085    0.000    0.085    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/timeout.py:119(_validate_timeout)
    55872    0.431    0.000    1.251    0.000 /usr/lib/python3.8/urllib/parse.py:155(hostname)
    55872    0.349    0.000    0.580    0.000 /usr/lib/python3.8/urllib/parse.py:195(_hostinfo)
    54786    0.352    0.000    1.683    0.000 /usr/lib/python3.8/urllib/parse.py:853(quote_plus)
    51217    0.070    0.000    0.070    0.000 {method 'append' of 'collections.deque' objects}
    51216    0.060    0.000    0.060    0.000 {method 'pop' of 'collections.deque' objects}
    51216    0.580    0.000    1.839    0.000 /usr/lib/python3.8/queue.py:121(put)
    51216    0.152    0.000    0.212    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/queue.py:21(_get)
    51216    0.149    0.000    0.219    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/queue.py:18(_put)
