Id,Status,Timestamp
biyin_,True,2
bjshaco,False,8
blinkx_,True,6
bokugaimodesuyo,False,15
borinyam,False,15
botezlive,False,15
box930205,True,6
boxbox,False,15
brtt,False,15
buckefps,False,15
buddha,False,2
byeongbyeongbyeong,True,5
cabochardlol,False,15
caedrel,False,5
calango,False,15
canna,True,2
casimito,False,15
cerross,False,15
ch960116,False,15
chaeriri,False,7
cheezestick58,False,15
cherrypach,True,6
chimin941214,False,15
chodan_,True,4
chy0715,False,7
cidcidoso,False,15
cloakzy,False,15
clozer_t1,True,2
clutch_fii,False,15
collet11,True,7
coscu,False,15
cpt_sama,False,15
cr_rion,False,15
crylixblooom,False,15
cyr,True,1
d_obby,False,15
daiantsuda514,False,15
dakchyo,True,8
daltoosh,False,3
darumaisgod,False,15
dasoku_aniki,False,15
dda_ju,True,6
ddahyoni,False,9
ddony1,False,15
deercheerup,False,15
dep_ow,False,15
detectiveconan_,False,15
detonator_robin,False,15
dfm_evi_lol,False,15
diegosaurs,False,15
dkdlel801,False,15
dkwl025,True,6
dltjdwls5507,False,15
dmf_kyochan,False,15
dmglgl78,False,15
dogdog,False,15
doigby,False,15
dopa24,False,3
doublelift,False,7
dreamingyume,False,15
dreamwastaken,True,1
drlee_kor,False,15
dropped,False,15
drututt,True,5
dtn_mukai,False,15
dua3362,True,7
dunizuni,False,15
dunkstream,False,15
dzukill,True,5
e_saem,False,7
edward2065,False,15
effort,True,3
elded,True,2
emiru,True,6
erenjjing,True,8
esstree,False,7
euriece,False,15
faide,False,15
faker,True,1
fantabobshow,False,15
fer,False,15
fgcounter,False,15
flamekr,False,9
flowergam0326,True,7
flowervin,False,15
flurry1989,False,15
fnxLNTC,False,15
forever,False,15
forsen,False,2
fps_shaka,False,15
fr_zod,True,5
frozen2065,False,15
fuslie,True,2
gafallen,False,15
gemaxgema,False,15
genburten,False,15
gent,False,15
ggumong,False,15
gjtn9664,False,4
gongparipa,False,5
gosegugosegu,True,7
gotaga,False,15
gratis150ml,False,15
guilty1223,False,15
gumayusi,False,1
gutitubo,False,15
h0270,False,7
h3h3productions,False,15
h920103,False,7
hair_yeonhwa,False,15
handongsuk,True,7
hanjoudesu,False,15
hannahxxrose,True,1
hanryang1125,True,8
hanssama,True,4
he0901,False,15
heavenly_narin,False,15
hejin0_0,True,7
heyst1000,False,15
hiswattson,False,15
hm716,True,5
holonsc2,False,15
hongja1027,True,6
hptgrm,False,15
hwkang2,False,15
hyeondini,False,15
iam_xq,False,15
ibai,True,2
iiTzTimmy,False,2
iitztimmy,True,5
ikeepittaco,False,6
im_slpx,False,15
inecr7024,False,8
inoxtag,False,15
insec13,False,15
iq200yukaf,False,15
ironmouse,False,3
itsHafu,False,15
itsRyanHiga,False,15
itsmejanna,True,9
j1nu6734,False,8
jacksepticeye,False,15
jaewon4915,True,5
jankos,True,5
jasper7se,False,15
jcw970,False,15
jdm2088,False,8
jean_mago,False,15
jingburger,False,8
jinjalim,True,6
jinu6734,True,7
jiudau,False,15
jlamaru,False,15
jltomy,False,15
johnny3047258,False,7
johnwolfe,False,15
jovirone,False,15
jschlatt,True,1
ju10506,False,6
juansguarnizo,True,1
jukes,False,15
julien,False,15
jungryeok,True,7
junior27015,False,15
junsst,False,15
k1ng,True,4
k3soju,False,15
k4sen,False,15
kaito_hoso,False,15
kanae_2434,False,15
kanetv8,False,15
karasmai,False,8
karchez,True,3
karljacobs,True,1
karlnetwork,True,1
kato1126,False,15
kato_junichi0817,False,15
kawashima_of_legend,False,15
keanelol,False,15
kennyS,False,15
killin9hit,False,15
kimchi5863,False,15
kimddolbok,False,7
kimdduddi,True,7
kimdoe,False,15
kimgapju,True,6
kimnamsoon,False,7
kkoma,False,15
komanche,True,3
korpick2,False,15
kranichhs,False,15
krbobae,False,15
kuiki771,True,6
kumikomii,True,6
laurebv,False,15
lazmall,False,15
lazvell,False,15
lck,False,7
lck_korea,True,0
lcs,True,6
lec,True,7
lec_wooloo,False,15
leechunhyang,True,7
lestream,False,6
lilpaaaaaa,False,8
lilypichu,False,2
liminhag0d,False,15
liok0485,True,5
lita282,False,7
littlebigwhale,False,15
ljh0328,False,10
lllllamar,False,15
lol_ambition,False,6
lol_cuvee,False,15
lol_khan,False,15
lol_nemesis,True,5
lol_peanut,False,15
lol_woolf,True,3
loltyler1,True,2
looksam,False,15
lotear0709,False,15
loud_babi,False,15
loud_bradoock,False,15
loud_coringa,False,15
loud_crusher,False,15
loud_mob,False,15
loud_thaiga,False,15
loud_thurzin,False,15
loud_voltan,False,15
lovelyyeon,True,8
lpl,False,7
lubatv,False,15
ludwig,False,1
lululuvely,False,15
lyj0729,False,15
ma_mwa,True,6
magenta62,True,4
makiba7,False,15
makiymagi,False,15
mamabenjyfishy1,False,5
mande,False,15
maoruya,False,15
marexlol,False,15
meiy_vl,False,15
melina,False,4
meongsoon,False,15
meowko,True,5
michaelreeves,False,15
michou_twitch,True,6
midbeast,True,6
midong1030,False,15
mister903,True,7
mistermv,True,5
miya728,False,15
mizkif,False,15
mlchoins,False,8
mmafu_,False,15
mmange2,False,6
moistcr1tikal,False,2
mokouliszt1,False,15
mondo23,False,15
mother3rd,False,15
mount,False,15
mrstiventc,False,15
msmsms213,False,7
myth,True,3
nafengg,False,15
nagisatty,False,15
nanajam777,True,7
nanayango3o,False,6
nangodof,True,7
naruserin309,False,15
natalan,True,3
nats,False,15
necklet880707,False,15
neymarjr,False,15
nicewigg,False,15
nickmercs,True,4
nimbleneuron,False,15
ninja,True,4
nisqyy,False,15
nl_Kripp,False,15
nlmiso95,False,15
nnabi,True,6
nniru,False,15
noahreyli,False,6
nodolly,True,7
noelmiller,True,2
noizemasta,False,15
nokduro,False,15
nokokopuffs,False,15
nrg_daequan,False,4
nrg_hamlinz,False,15
nubulswamp,True,7
nuclear220,False,15
nyanners,False,15
obly99,False,15
obm1025,True,3
ok_ja,False,8
omgvodka,False,15
oni_is_soto_,False,15
oniyadayo,False,15
ooenotakayuki,False,15
ops1x,True,5
osamintinus3sei,False,15
otplol_,False,5
otzdarva,False,15
ow_pepper,False,15
pacific8815,False,9
paka9999,True,2
parkjand,False,15
paulanobre,False,15
penyo_,False,7
peterparkTV,False,15
pgod,True,4
pianocatvr,False,7
pijack11,False,15
pikra10,False,10
pimpimenta,False,15
pjs9073,True,6
playapex,False,15
pokimane,False,1
ponce,False,15
popo,False,6
portialyn,False,15
projektmelody,False,15
pyosixs,False,15
pzzzang3,True,6
qcnb123,True,3
qq102qq,True,6
quanhaha79,True,6
qufl0,False,15
raderaderader,False,15
radersub,False,15
radiyu,True,6
rainblue37,True,6
ranboobutnot,True,1
ranboolive,False,15
ras_sama,False,15
rather777,False,15
ratirl,True,5
rebeudeter,False,15
reitathefps,False,15
rekkles,False,15
restiafps,False,15
rhffkddl96,False,15
ricadam_lol,False,15
ringkyu1123,False,5
riotgames,True,1
riotgames_korea,True,8
riotgamesjp,False,15
riotgameslatam,False,15
riotgamesru,True,9
rjsqn1109,False,15
rkdthdus930,False,15
rkdwl12,True,5
rlawnsvy7,True,7
rlgus1006,False,10
rngudwnswkd,False,6
rocketbaguette,False,15
rockggun,False,15
rogue,False,15
roki_ch,False,15
ronaronakr,True,6
rooftopcat99,False,8
rprx,False,15
rtainjapan,False,15
rua_jp,False,15
rulrudino,False,6
runner0608,False,8
rybsonlol_,True,6
s1032204,True,6
s1mple,False,15
saddummy,True,7
sah_yang,True,6
saken_lol,False,15
sal_gu,False,15
samueletienne,False,15
sapnapalt,True,1
sasatikk,False,15
scarlet6942,False,15
scoped,False,4
score1992,False,15
selly55,False,15
seoldam99,False,15
ses836,False,15
shahzam,False,15
shibuyahal,False,15
shivfps,False,15
shomaru7,False,15
shroud,False,2
silphtv,True,7
silversigle,False,15
sinatraa,False,6
skeppy,True,1
skmgsysy,False,15
sktt1fan_,False,15
slamzinseok,False,15
sleepground,False,7
slemf4062,False,4
smthlikeyou11,False,15
sn400ja,True,8
sneakylol,False,15
snip3down,False,15
snow_hite,False,6
so_urf,False,15
sodapoppin,True,1
solary,False,15
som0322,False,5
sonycast_,False,8
sooflower,True,6
sorammmm,True,6
sorimcaster,False,15
spygea,False,15
stansmith_jp,False,15
steel_tv,False,15
steelohs,False,15
stormen,False,15
stylishnoob4,False,15
su_ning,False,7
sugarz3ro,False,15
suhyen0107,False,15
sujagg,False,4
summit1g,False,2
sunbaking,True,4
surugamonkey0113,False,15
sutanmi,False,15
suxkingiscoming,False,7
swab85,False,15
sweetdreams,False,15
swon5274,False,6
syaruru3,False,15
sykkuno,True,4
sz_taisheen,False,15
t1_cuzz,False,1
t1_ellim,True,2
t1_keria,False,1
t1_oner,True,1
t1_roach,True,2
t1_teddy,False,1
t1esports,True,3
t1moment,True,3
t1zeus_,True,3
ta1yo_tv,False,15
takayaspecial,False,15
tanukininja,False,15
targamas1,False,15
tarik,False,15
taxi2g,False,15
tempplex_,False,15
tenz,False,15
tfblade,True,3
tfue,True,4
thdwodnr97,False,15
thebausffs,True,6
timthetatman,False,15
tioorochitwitch,False,15
tmxk319,False,2
tobiasfate,False,15
tommyinnit,True,1
tommyinnitalt,False,1
torona1,False,15
toto02033,False,15
trainwreckstv,False,5
traytonlol,False,15
tsm_imperialhal,False,5
tsm_reps,False,15
tst1023,False,11
tttcheekyttt,False,15
twitchpresentskr,False,15
untara,False,15
uzuhama,False,6
valorant,False,15
valorant_jpn,False,15
veibae,False,15
vetheo,False,15
viichan6,False,15
vinnie,False,15
vo_ine,False,15
volibear_oyo,True,5
wahahaha830,False,15
waolol1,False,15
wildriftesports,True,1
wkddydwns0318,False,15
wkgml,False,4
wns1727,False,15
wnsldj0610,True,5
woohankyung,True,5
woowakgood,False,6
wrq241,False,15
wyskah123,False,6
x2Twins,False,4
xChocoBars,False,15
xCry,False,4
xQcOW,False,1
xXxTheFocuSxXx,True,2
xayoo_,False,6
xkwhd,False,9
xordn123456,True,6
xqcow,True,4
yagubu,False,15
yamatonjp,False,15
yapyap30,True,9
yasmanrox,False,15
yd0821,True,7
yeTz,False,15
yeunda,True,6
yoshinama222,False,15
yourragegaming,False,4
yufuna,False,15
yukiofps14,False,15
yumyumyu77,False,7
yunzinseok,False,15
yutapongo,False,15
yvonnie,False,15
zackrawrr,True,2
zainita,True,3
zed99_lol,True,7
zepher,False,15
zevent,False,15
ziGueira,False,15
zilioner,True,6
zledisd,False,15
zoodasa,False,7
zz5152zz,False,15
zzamtiger0310,False,10
