Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
kimdduddi,2chamcham2,16.0,Directed,League of Legends,League of Legends,Korean,Korean
kimdduddi,9ambler,22.0,Directed,League of Legends,League of Legends,Korean,Korean
kimdduddi,agueppo,5.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,ao_o5,16.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,bbonge_,26.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,bgirl_0,8.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,collet11,10.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,faker,12.0,Directed,League of Legends,League of Legends,Korean,Korean
kimdduddi,flowergam0326,10.0,Directed,League of Legends,Music,Korean,Korean
kimdduddi,gongparipa,13.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,hejin0_0,21.0,Directed,League of Legends,League of Legends,Korean,Korean
kimdduddi,jinu6734,20.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,kimddolbok,15.0,Directed,League of Legends,LOST ARK,Korean,Korean
kimdduddi,kuiki771,26.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,kumikomii,12.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,leechunhyang,13.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,nanayango3o,13.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,rkdwl12,15.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,silphtv,17.0,Directed,League of Legends,League of Legends,Korean,Korean
kimdduddi,snow_hite,5.0,Directed,League of Legends,Just Chatting,Korean,Korean
kimdduddi,wkgml,9.0,Directed,League of Legends,Just Chatting,Korean,Korean
kuiki771,2chamcham2,27.0,Directed,Just Chatting,League of Legends,Korean,Korean
kuiki771,agueppo,19.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,ao_o5,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,bbonge_,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,bbyongluv,5.0,Directed,Just Chatting,VALORANT,Korean,Korean
kuiki771,bgirl_0,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,cherrypach,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,collet11,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,dda_ju,18.0,Directed,Just Chatting,LOST ARK,Korean,Korean
kuiki771,gongparipa,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,h920103,9.0,Directed,Just Chatting,LOST ARK,Korean,Korean
kuiki771,jinu6734,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,kimdduddi,8.0,Directed,Just Chatting,League of Legends,Korean,Korean
kuiki771,kumikomii,16.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,lck_korea,21.0,Directed,Just Chatting,League of Legends,Korean,Korean
kuiki771,leechunhyang,20.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,ma_mwa,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,nanayango3o,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,pjs9073,5.0,Directed,Just Chatting,LOST ARK,Korean,Korean
kuiki771,rkdwl12,20.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,s1032204,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,silphtv,15.0,Directed,Just Chatting,League of Legends,Korean,Korean
kuiki771,snow_hite,24.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,som0322,19.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kuiki771,t1_keria,16.0,Directed,Just Chatting,League of Legends,Korean,Korean
kuiki771,wkgml,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,2chamcham2,16.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,aba4647,15.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,bbonge_,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,bgirl_0,20.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,cherrypach,17.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,chodan_,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,collet11,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,hanryang1125,13.0,Directed,Just Chatting,Escape From Tarkov,Korean,Korean
leechunhyang,hejin0_0,14.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,kimdduddi,22.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,kuiki771,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,kumikomii,22.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,lck_korea,16.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,liok0485,11.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,magenta62,17.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,nanajam777,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,nanayango3o,18.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,ok_ja,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,pjs9073,14.0,Directed,Just Chatting,LOST ARK,Korean,Korean
leechunhyang,rkdwl12,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,ronaronakr,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,snow_hite,20.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,som0322,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
leechunhyang,tmxk319,10.0,Directed,Just Chatting,League of Legends,Korean,Korean
leechunhyang,wkgml,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,2chamcham2,20.0,Directed,Just Chatting,League of Legends,Korean,Korean
ma_mwa,ajehr,5.0,Directed,Just Chatting,Talk Shows & Podcasts,Korean,Korean
ma_mwa,bbonge_,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,cherrypach,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,collet11,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,dkwl025,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,gongparipa,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,h920103,5.0,Directed,Just Chatting,LOST ARK,Korean,Korean
ma_mwa,hejin0_0,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
ma_mwa,kuiki771,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,kumikomii,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,lck_korea,5.0,Directed,Just Chatting,League of Legends,Korean,Korean
ma_mwa,leechunhyang,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,nanayango3o,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,pjs9073,13.0,Directed,Just Chatting,LOST ARK,Korean,Korean
ma_mwa,rkdwl12,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,s1032204,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,saddummy,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,suxkingiscoming,10.0,Directed,Just Chatting,Escape From Tarkov,Korean,Korean
ma_mwa,tmxk319,14.0,Directed,Just Chatting,League of Legends,Korean,Korean
ma_mwa,wkgml,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
ma_mwa,yeunda,9.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
ma_mwa,yumyumyu77,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,2chamcham2,21.0,Directed,Just Chatting,League of Legends,Korean,Korean
nanayango3o,95pingman,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,agueppo,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,ao_o5,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,bbonge_,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,bgirl_0,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,box930205,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,cherrypach,18.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,collet11,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,dkwl025,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,e_saem,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,esstree,11.0,Directed,Just Chatting,Minecraft,Korean,Korean
nanayango3o,gongparipa,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,kimddolbok,13.0,Directed,Just Chatting,LOST ARK,Korean,Korean
nanayango3o,kuiki771,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,kumikomii,18.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,lck_korea,10.0,Directed,Just Chatting,League of Legends,Korean,Korean
nanayango3o,leechunhyang,35.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,ma_mwa,18.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,makiymagi,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,mmange2,16.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,msmsms213,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,obm1025,17.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,pjs9073,17.0,Directed,Just Chatting,LOST ARK,Korean,Korean
nanayango3o,radiyu,29.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,rngudwnswkd,31.0,Directed,Just Chatting,League of Legends,Korean,Korean
nanayango3o,sah_yang,17.0,Directed,Just Chatting,Apex Legends,Korean,Korean
nanayango3o,silphtv,20.0,Directed,Just Chatting,League of Legends,Korean,Korean
nanayango3o,som0322,28.0,Directed,Just Chatting,Just Chatting,Korean,Korean
nanayango3o,wkgml,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,2chamcham2,27.0,Directed,Just Chatting,League of Legends,Korean,Korean
s1032204,bbonge_,23.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,cherrypach,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,collet11,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,faker,9.0,Directed,Just Chatting,League of Legends,Korean,Korean
s1032204,gongparipa,20.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,hejin0_0,10.0,Directed,Just Chatting,League of Legends,Korean,Korean
s1032204,jinu6734,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,johnny3047258,5.0,Directed,Just Chatting,LOST ARK,Korean,Korean
s1032204,kimdduddi,9.0,Directed,Just Chatting,League of Legends,Korean,Korean
s1032204,kuiki771,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,leechunhyang,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,ma_mwa,16.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,nanayango3o,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,pjs9073,13.0,Directed,Just Chatting,LOST ARK,Korean,Korean
s1032204,rkdwl12,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,saddummy,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,snow_hite,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,wkgml,19.0,Directed,Just Chatting,Just Chatting,Korean,Korean
s1032204,woowakgood,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
sah_yang,95pingman,10.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,9ambler,10.0,Directed,Apex Legends,League of Legends,Korean,Korean
sah_yang,agueppo,10.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,ao_o5,15.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,bbonge_,10.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,cherrypach,15.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,chodan_,14.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,collet11,16.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,dkwl025,15.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,e_saem,17.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,flowergam0326,22.0,Directed,Apex Legends,Music,Korean,Korean
sah_yang,gongparipa,11.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,h920103,11.0,Directed,Apex Legends,LOST ARK,Korean,Korean
sah_yang,hongja1027,13.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,jinu6734,12.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,kimdduddi,8.0,Directed,Apex Legends,League of Legends,Korean,Korean
sah_yang,kuiki771,22.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,kumikomii,23.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,leechunhyang,12.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,ma_mwa,20.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,mmange2,7.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,msmsms213,14.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,nanayango3o,15.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,pianocatvr,12.0,Directed,Apex Legends,VRChat,Korean,Korean
sah_yang,pjs9073,16.0,Directed,Apex Legends,LOST ARK,Korean,Korean
sah_yang,radiyu,10.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,rkdwl12,14.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,rngudwnswkd,11.0,Directed,Apex Legends,League of Legends,Korean,Korean
sah_yang,silphtv,13.0,Directed,Apex Legends,League of Legends,Korean,Korean
sah_yang,snow_hite,17.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,som0322,14.0,Directed,Apex Legends,Just Chatting,Korean,Korean
sah_yang,wkgml,22.0,Directed,Apex Legends,Just Chatting,Korean,Korean
silphtv,2chamcham2,16.0,Directed,League of Legends,League of Legends,Korean,Korean
silphtv,9ambler,12.0,Directed,League of Legends,League of Legends,Korean,Korean
silphtv,agueppo,15.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,ao_o5,7.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,bbonge_,8.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,box930205,5.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,cherrypach,7.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,collet11,8.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,j1nu6734,5.0,Directed,League of Legends,other,Korean,Korean
silphtv,jaewon4915,5.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,jinu6734,10.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,kimddolbok,5.0,Directed,League of Legends,LOST ARK,Korean,Korean
silphtv,kimdduddi,11.0,Directed,League of Legends,League of Legends,Korean,Korean
silphtv,kuiki771,11.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,kumikomii,10.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,leechunhyang,11.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,magenta62,5.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,nanayango3o,14.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,obm1025,5.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,pjs9073,6.0,Directed,League of Legends,LOST ARK,Korean,Korean
silphtv,rkdwl12,7.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,snow_hite,6.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,som0322,11.0,Directed,League of Legends,Just Chatting,Korean,Korean
silphtv,wkgml,10.0,Directed,League of Legends,Just Chatting,Korean,Korean
snow_hite,2chamcham2,10.0,Directed,Just Chatting,League of Legends,Korean,Korean
snow_hite,95pingman,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,9ambler,12.0,Directed,Just Chatting,League of Legends,Korean,Korean
snow_hite,agueppo,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,ao_o5,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,cherrypach,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,collet11,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,e_saem,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,erenjjing,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,flowergam0326,5.0,Directed,Just Chatting,Music,Korean,Korean
snow_hite,hejin0_0,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
snow_hite,kimdduddi,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
snow_hite,kuiki771,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,kumikomii,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,lck_korea,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
snow_hite,leechunhyang,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,ma_mwa,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,mmange2,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,nanayango3o,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,pjs9073,8.0,Directed,Just Chatting,LOST ARK,Korean,Korean
snow_hite,rkdwl12,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,s1032204,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
snow_hite,sah_yang,6.0,Directed,Just Chatting,Apex Legends,Korean,Korean
snow_hite,silphtv,5.0,Directed,Just Chatting,League of Legends,Korean,Korean
snow_hite,wkgml,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,2chamcham2,13.0,Directed,Just Chatting,League of Legends,Korean,Korean
bgirl_0,chy0715,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,collet11,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,gongparipa,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,jaewon4915,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,jinu6734,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,kimdduddi,7.0,Directed,Just Chatting,League of Legends,Korean,Korean
bgirl_0,rainblue37,9.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
bgirl_0,rkdwl12,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,rulrudino,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
bgirl_0,sleepground,5.0,Directed,Just Chatting,Minecraft,Korean,Korean
bgirl_0,wkgml,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
chy0715,box930205,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
chy0715,ch960116,5.0,Directed,Just Chatting,Art,Korean,Korean
chy0715,h0270,5.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
chy0715,jaewon4915,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
chy0715,obm1025,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
chy0715,rainblue37,8.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
chy0715,yeunda,5.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
collet11,2chamcham2,13.0,Directed,Just Chatting,League of Legends,Korean,Korean
collet11,95pingman,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,agueppo,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,bbonge_,8.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,bgirl_0,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,cherrypach,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,dkwl025,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,erenjjing,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,esstree,5.0,Directed,Just Chatting,Minecraft,Korean,Korean
collet11,hanryang1125,5.0,Directed,Just Chatting,Escape From Tarkov,Korean,Korean
collet11,jaewon4915,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,jinu6734,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,kimddolbok,7.0,Directed,Just Chatting,LOST ARK,Korean,Korean
collet11,kimdduddi,10.0,Directed,Just Chatting,League of Legends,Korean,Korean
collet11,kuiki771,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,kumikomii,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,leechunhyang,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,ma_mwa,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,msmsms213,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,nanayango3o,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,pjs9073,7.0,Directed,Just Chatting,LOST ARK,Korean,Korean
collet11,rainblue37,7.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
collet11,rkdwl12,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,sah_yang,6.0,Directed,Just Chatting,Apex Legends,Korean,Korean
collet11,silphtv,7.0,Directed,Just Chatting,League of Legends,Korean,Korean
collet11,snow_hite,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
collet11,wkgml,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rainblue37,bgirl_0,6.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,gongparipa,5.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,h0270,5.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
rainblue37,jaewon4915,5.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,leechunhyang,6.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,rkdwl12,9.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,rulrudino,5.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,uzuhama,5.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,wkgml,7.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,Just Chatting,Korean,Korean
rainblue37,yeunda,5.0,Directed,PLAYERUNKNOWN'S BATTLEGROUNDS,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
rulrudino,dkdlel801,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,dkwl025,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,edward2065,9.0,Directed,Just Chatting,The Escapists,Korean,Korean
rulrudino,hptgrm,5.0,Directed,Just Chatting,Minecraft,Korean,Korean
rulrudino,jaewon4915,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,obm1025,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,rainblue37,9.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
rulrudino,rkdwl12,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,uzuhama,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,wkgml,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,wns1727,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,woowakgood,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
rulrudino,yeunda,6.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
sleepground,bgirl_0,5.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,ddony1,7.0,Directed,Minecraft,Eternal Return,Korean,Korean
sleepground,edward2065,9.0,Directed,Minecraft,The Escapists,Korean,Korean
sleepground,fgcounter,6.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,ggumong,6.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,hptgrm,13.0,Directed,Minecraft,Minecraft,Korean,Korean
sleepground,jaewon4915,5.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,lotear0709,5.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,rainblue37,5.0,Directed,Minecraft,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
sleepground,rather777,9.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,rockggun,12.0,Directed,Minecraft,Minecraft,Korean,Korean
sleepground,rulrudino,29.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,suhyen0107,8.0,Directed,Minecraft,Just Chatting,Korean,Korean
sleepground,wns1727,5.0,Directed,Minecraft,Just Chatting,Korean,Korean
kumikomii,2chamcham2,8.0,Directed,Just Chatting,League of Legends,Korean,Korean
kumikomii,95pingman,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,aba4647,5.0,Directed,Just Chatting,League of Legends,Korean,Korean
kumikomii,ao_o5,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,cherrypach,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,esstree,5.0,Directed,Just Chatting,Minecraft,Korean,Korean
kumikomii,flowergam0326,6.0,Directed,Just Chatting,Music,Korean,Korean
kumikomii,jinu6734,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,jungryeok,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,kimddolbok,6.0,Directed,Just Chatting,LOST ARK,Korean,Korean
kumikomii,kimnamsoon,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
kumikomii,kuiki771,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,lck_korea,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
kumikomii,leechunhyang,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,lita282,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,ma_mwa,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
kumikomii,mister903,5.0,Directed,Just Chatting,Art,Korean,Korean
kumikomii,msmsms213,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
