Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
lck,jankos,23.0,Directed,League of Legends,League of Legends,English,English
lck,lck_korea,42.0,Directed,League of Legends,League of Legends,English,Korean
lck,lcs,25.0,Directed,League of Legends,League of Legends,English,English
lck,lec,23.0,Directed,League of Legends,League of Legends,English,English
lck,lpl,38.0,Directed,League of Legends,League of Legends,English,English
lck,riotgames,29.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,drututt,38.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,faker,23.0,Directed,League of Legends,League of Legends,English,Korean
lol_nemesis,hanssama,66.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,jankos,36.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,lcs,23.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,loltyler1,41.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,midbeast,54.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,riotgames,14.0,Directed,League of Legends,League of Legends,English,English
lol_nemesis,thebausffs,19.0,Directed,League of Legends,League of Legends,English,English
rekkles,aminematue,51.0,Directed,League of Legends,Grand Theft Auto V,English,French
rekkles,botezlive,39.0,Directed,League of Legends,Just Chatting,English,English
rekkles,cabochardlol,50.0,Directed,League of Legends,League of Legends,English,French
rekkles,doigby,32.0,Directed,League of Legends,Minecraft,English,French
rekkles,fantabobshow,15.0,Directed,League of Legends,Pathfinder: Kingmaker,English,French
rekkles,fr_zod,24.0,Directed,League of Legends,Apex Legends,English,French
rekkles,gotaga,13.0,Directed,League of Legends,Call of Duty: Warzone,English,French
rekkles,inoxtag,34.0,Directed,League of Legends,Special Events,English,French
rekkles,jlamaru,38.0,Directed,League of Legends,Just Chatting,English,French
rekkles,jltomy,38.0,Directed,League of Legends,Grand Theft Auto V,English,French
rekkles,laurebv,22.0,Directed,League of Legends,Just Chatting,English,French
rekkles,lec,16.0,Directed,League of Legends,League of Legends,English,English
rekkles,lec_wooloo,37.0,Directed,League of Legends,League of Legends,English,English
rekkles,littlebigwhale,32.0,Directed,League of Legends,Just Chatting,English,French
rekkles,marexlol,5.0,Directed,League of Legends,League of Legends,English,French
rekkles,michou_twitch,31.0,Directed,League of Legends,Minecraft,English,French
rekkles,nisqyy,28.0,Directed,League of Legends,League of Legends,English,French
rekkles,otplol_,45.0,Directed,League of Legends,League of Legends,English,French
rekkles,ponce,24.0,Directed,League of Legends,Just Chatting,English,French
rekkles,rebeudeter,14.0,Directed,League of Legends,League of Legends,English,French
rekkles,ricadam_lol,32.0,Directed,League of Legends,League of Legends,English,French
rekkles,rocketbaguette,25.0,Directed,League of Legends,Rocket League,English,French
rekkles,saken_lol,33.0,Directed,League of Legends,League of Legends,English,French
rekkles,samueletienne,18.0,Directed,League of Legends,Just Chatting,English,French
rekkles,solary,12.0,Directed,League of Legends,League of Legends,English,French
rekkles,targamas1,11.0,Directed,League of Legends,League of Legends,English,French
rekkles,traytonlol,21.0,Directed,League of Legends,League of Legends,English,French
rekkles,vetheo,26.0,Directed,League of Legends,League of Legends,English,French
rekkles,waolol1,40.0,Directed,League of Legends,League of Legends,English,French
rekkles,zevent,28.0,Directed,League of Legends,Special Events,English,French
t1_keria,faker,28.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_keria,gumayusi,26.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_keria,hanssama,18.0,Directed,League of Legends,League of Legends,Korean,English
t1_keria,t1_teddy,24.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,aba4647,21.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,canna,24.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,clozer_t1,16.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,faker,40.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,gumayusi,42.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,lck_korea,22.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,paka9999,20.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,riotgames,13.0,Directed,League of Legends,League of Legends,Korean,English
t1_oner,t1_cuzz,25.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,t1_ellim,27.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,t1_keria,47.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,t1_roach,23.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,t1_teddy,37.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_oner,tmxk319,12.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,canna,36.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,clozer_t1,34.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,effort,18.0,Directed,League of Legends,other,Korean,Korean
t1_cuzz,faker,60.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,gumayusi,52.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,lck_korea,45.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,riotgames,26.0,Directed,League of Legends,League of Legends,Korean,English
t1_cuzz,t1_ellim,22.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,t1_keria,25.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,t1_oner,61.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,t1_roach,45.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,t1_teddy,69.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,t1esports,21.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_cuzz,tmxk319,25.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,canna,26.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,effort,33.0,Directed,League of Legends,other,Korean,Korean
clozer_t1,faker,42.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,gumayusi,45.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,lck_korea,49.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,lol_woolf,30.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1_cuzz,39.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1_ellim,37.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1_keria,35.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1_oner,63.0,Directed,League of Legends,League of Legends,Korean,Korean
