Source,Target,Weight
pokimane,Philza,5.0
pokimane,QTCinderella,36.0
pokimane,RanbooLive,25.0
pokimane,xQcOW,196.0
shroud,loltyler1,73.0
shroud,xQcOW,557.0
sinatraa,AverageJonas,373.0
sinatraa,VALORANT,1327.0
sinatraa,nAts,165.0
sinatraa,shroud,659.0
Kyedae,Hiko,131.0
Hiko,dapr,358.0
Hiko,nAts,183.0
Hiko,zombs,146.0
ShahZaM,tarik,230.0
sinatraa,pokimane,212.0
sinatraa,s0mcs,530.0
sinatraa,tarik,434.0
Kyedae,AverageJonas,126.0
sinatraa,Ninja,5.0
sinatraa,aceu,115.0
Subroza,Governor,57.0
Subroza,Grimm,183.0
Subroza,HowToNoodle,10.0
Subroza,ethos,176.0
Subroza,kennyS,85.0
Subroza,pokimane,215.0
AsunaWEEB,ESL_CSGO,5.0
AsunaWEEB,Ninja,21.0
AsunaWEEB,ploo,35.0
AverageJonas,Ninja,27.0
AverageJonas,tarik,234.0
AverageJonas,zombs,130.0
ShahZaM,WARDELL,453.0
TenZ,Tfue,10.0
VALORANT,shroud,169.0
VALORANT,stylishnoob4,10.0
WARDELL,ploo,39.0
WARDELL,pokimane,183.0
WARDELL,zombs,215.0
kennyS,PGL,83.0
kennyS,VALORANT,68.0
kennyS,pgl_csgo,28.0
kennyS,shroud,80.0
kennyS,tarik,42.0
pokimane,Sykkuno,320.0
shroud,Ninja,128.0
shroud,sinatraa,68.0
AverageJonas,FlowAscending,48.0
AverageJonas,pokimane,223.0
Hiko,Ninja,38.0
Hiko,tarik,458.0
Kyedae,lilypichu,51.0
sinatraa,Flexinja,5.0
sinatraa,Grimm,121.0
sinatraa,ethos,126.0
sinatraa,iiTzTimmy,42.0
WARDELL,Governor,114.0
WARDELL,NRG_Hamlinz,21.0
WARDELL,xQcOW,158.0
AsunaWEEB,xQcOW,134.0
Hiko,s0mcs,373.0
NRG_Hamlinz,Myth,12.0
NRG_Hamlinz,TSM_Daequan,31.0
VALORANT,Ninja,16.0
shroud,PGL,6.0
shroud,ShahZaM,192.0
sinatraa,Governor,46.0
sinatraa,OfficialBoaster,10.0
sinatraa,nosyy,53.0
sinatraa,shanks_ttv,17.0
tarik,BLASTPremier,57.0
tarik,ESL_CSGOb,25.0
tarik,PGL,231.0
tarik,nAts,203.0
tarik,pgl_csgo,163.0
xQcOW,ludwig,181.0
shroud,VALORANT,36.0
shroud,s0mcs,5.0
shroud,tarik,16.0
ShahZaM,pokimane,156.0
tarik,AverageJonas,213.0
tarik,Stewie2K,22.0
tarik,pokimane,65.0
sinatraa,ScreaM,27.0
AsunaWEEB,Flights1,37.0
AverageJonas,Flexinja,42.0
AverageJonas,kennyS,77.0
AverageJonas,nosyy,91.0
ScreaM,AsunaWEEB,122.0
ScreaM,Kyedae,61.0
ScreaM,ShahZaM,145.0
ScreaM,SicK_cs,101.0
ScreaM,Subroza,86.0
ScreaM,TenZ,186.0
ScreaM,VALORANT,142.0
ScreaM,kennyS,82.0
ScreaM,nAts,116.0
ScreaM,sinatraa,114.0
ShahZaM,aceu,45.0
ShahZaM,nAts,15.0
Subroza,aceu,83.0
WARDELL,Kaemiii,7.0
WARDELL,laurathesimp,5.0
WARDELL,shanks_ttv,98.0
tarik,Lobanjicaa,18.0
tarik,d0cc_tv,13.0
tarik,fl0m,31.0
xQcOW,JustaMinx,16.0
xQcOW,pokimane,92.0
xQcOW,moistcr1tikal,240.0
xQcOW,tommyinnit,16.0
tommyinnit,Fundy,5.0
tommyinnit,GeorgeNotFound,100.0
tommyinnit,JackManifoldTV,12.0
tommyinnit,Nihachu,47.0
tommyinnit,Philza,43.0
tommyinnit,Quackity,58.0
tommyinnit,RanbooLive,124.0
tommyinnit,Sapnap,47.0
tommyinnit,ThisIsNotGeorgeNotFound,30.0
tommyinnit,Tubbo,137.0
tommyinnit,TubboLIVE,60.0
tommyinnit,WilburSoot,84.0
tommyinnit,billzo,38.0
tommyinnit,dreamwastaken,106.0
tommyinnit,tommyinnitalt,70.0
AsunaWEEB,Governor,73.0
AsunaWEEB,iiTzTimmy,37.0
AverageJonas,Flights1,35.0
AverageJonas,s0mcs,183.0
ScreaM,Hiko,90.0
ScreaM,OfficialBoaster,29.0
ScreaM,cNed,16.0
ScreaM,s1mple,35.0
ScreaM,tarik,75.0
WARDELL,Grimm,228.0
WARDELL,QuarterJade,5.0
WARDELL,iiTzTimmy,59.0
iiTzTimmy,NICKMERCS,40.0
iiTzTimmy,ShivFPS,60.0
iiTzTimmy,TSM_ImperialHal,158.0
iiTzTimmy,aceu,178.0
shroud,pokimane,209.0
xQcOW,loltyler1,50.0
xQcOW,shroud,107.0
AverageJonas,Grimm,133.0
AverageJonas,HowToNoodle,48.0
AsunaWEEB,Riot Games,28.0
Subroza,KatsumiFPS,11.0
Subroza,summit1g,5.0
shroud,summit1g,77.0
Kyedae,xQcOW,201.0
Sykkuno,Corpse_Husband,95.0
Sykkuno,DisguisedToast,32.0
Sykkuno,RanbooLive,114.0
Sykkuno,Sapnap,61.0
Sykkuno,TinaKitten,61.0
Sykkuno,Tubbo,88.0
Sykkuno,lilypichu,36.0
Sykkuno,pokimane,102.0
TenZ,pokimane,208.0
pokimane,Ninja,64.0
pokimane,TenZ,51.0
sinatraa,Flights1,15.0
xQcOW,TenZ,72.0
ShahZaM,Riot Games,5.0
AverageJonas,Redami,5.0
TenZ,s0mcs,27.0
VALORANT,xQcOW,111.0
pokimane,TinaKitten,21.0
pokimane,dreamwastaken,80.0
pokimane,tommyinnit,132.0
Subroza,NRG_Hamlinz,5.0
AsunaWEEB,shanks_ttv,97.0
Hiko,Flights1,21.0
NRG_Hamlinz,AdinRoss,24.0
NRG_Hamlinz,SypherPK,6.0
ShahZaM,LadiffTV,5.0
TenZ,aceu,26.0
VALORANT,AverageJonas,57.0
VALORANT,Riot Games,130.0
shroud,Tfue,26.0
sinatraa,Myth,5.0
tarik,Flights1,21.0
tarik,aceu,92.0
Kyedae,dreamwastaken,16.0
sinatraa,zombs,131.0
Hiko,JASONR,21.0
Hiko,ShivFPS,10.0
Hiko,ethos,60.0
Hiko,kennyS,78.0
Kyedae,AdinRoss,20.0
ShahZaM,ethos,50.0
Subroza,iiTzTimmy,47.0
sinatraa,TSM_ImperialHal,5.0
Hiko,nosyy,26.0
Subroza,nukkye,5.0
TenZ,tarik,37.0
pokimane,Corpse_Husband,51.0
pokimane,DisguisedToast,15.0
pokimane,lilypichu,26.0
Kyedae,SicK_cs,246.0
Kyedae,aceu,58.0
TenZ,xQcOW,155.0
aceu,LuluLuvely,21.0
aceu,ShivFPS,37.0
ShahZaM,johnolsen_,5.0
aceu,shroud,26.0
TSM_ImperialHal,Albralelie,5.0
TSM_ImperialHal,NiceWigg,6.0
TSM_ImperialHal,ShivFPS,81.0
TSM_ImperialHal,aceu,78.0
TSM_ImperialHal,stylishnoob4,7.0
TSM_ImperialHal,sweetdreams,13.0
iiTzTimmy,Tfue,57.0
iiTzTimmy,shroud,31.0
iiTzTimmy,stormen,6.0
shroud,Tectone,5.0
shroud,Hiko,10.0
Hiko,s1mple,24.0
Kyedae,tarik,40.0
TenZ,zombs,23.0
VALORANT,Kyedae,336.0
xQcOW,Philza,5.0
Philza,BadBoyHalo,13.0
Philza,CaptainPuffy,16.0
Philza,Foolish_Gamers,7.0
Philza,Fundy,16.0
Philza,GeorgeNotFound,33.0
Philza,JackManifoldTV,19.0
Philza,JustaMinx,12.0
Philza,Nihachu,26.0
Philza,Punz,7.0
Philza,Quackity,23.0
Philza,RanbooLive,42.0
Philza,Sapnap,25.0
Philza,Technoblade,12.0
Philza,ThisIsNotGeorgeNotFound,16.0
Philza,Tubbo,44.0
Philza,TubboLIVE,24.0
Philza,WilburSoot,44.0
Philza,aimsey,15.0
Philza,awesamdude,5.0
Philza,billzo,11.0
Philza,dreamwastaken,42.0
Philza,karljacobs,20.0
Philza,karlnetwork,7.0
Philza,ranboobutnot,11.0
Philza,sapnapalt,5.0
Philza,tommyinnit,51.0
Philza,tommyinnitalt,16.0
ShahZaM,xQcOW,228.0
TenZ,Mixwell,15.0
TenZ,Sykkuno,20.0
sinatraa,ploo,44.0
pokimane,Tubbo,36.0
Tubbo,BadBoyHalo,8.0
Tubbo,CaptainPuffy,11.0
Tubbo,Foolish_Gamers,5.0
Tubbo,Fundy,5.0
Tubbo,GeorgeNotFound,50.0
Tubbo,Nihachu,27.0
Tubbo,Philza,21.0
Tubbo,Quackity,26.0
Tubbo,QuackityToo,15.0
Tubbo,RanbooLive,61.0
Tubbo,Sapnap,20.0
Tubbo,ThisIsNotGeorgeNotFound,19.0
Tubbo,TubboLIVE,37.0
Tubbo,WilburSoot,40.0
Tubbo,billzo,15.0
Tubbo,dreamwastaken,54.0
Tubbo,karljacobs,20.0
Tubbo,ranboobutnot,12.0
Tubbo,skeppy,5.0
Tubbo,tommyinnit,87.0
Tubbo,tommyinnitalt,27.0
tommyinnit,CaptainPuffy,30.0
tommyinnit,DreamAlt_,6.0
tommyinnit,Punz,6.0
tommyinnit,QuackityToo,22.0
tommyinnit,Technoblade,7.0
tommyinnit,aimsey,26.0
tommyinnit,karljacobs,40.0
tommyinnit,ranboobutnot,17.0
tommyinnit,sapnapalt,6.0
Ninja,NickEh30,22.0
Ninja,benjyfishy,75.0
pokimane,WilburSoot,10.0
sinatraa,ArrumieShannon,16.0
Hiko,Keeoh,10.0
Subroza,ScreaM,20.0
VALORANT,auronplay,5.0
iiTzTimmy,LuluLuvely,81.0
shroud,aceu,58.0
AsunaWEEB,nosyy,81.0
AverageJonas,Dillxn_HD,117.0
AverageJonas,JonasPlaysValorant,22.0
AverageJonas,Mirakysa,228.0
AverageJonas,RHODDIS,27.0
AverageJonas,Sabforce,315.0
AverageJonas,Skaaza_,45.0
AverageJonas,TypicalStina,185.0
AverageJonas,VirusDeluXe,285.0
AverageJonas,clink_yt,7.0
AverageJonas,ehsan724,222.0
AverageJonas,fahmid_z,6.0
AverageJonas,fisnik128,220.0
AverageJonas,gekkoen,25.0
AverageJonas,imfadegolden,29.0
AverageJonas,marcob1506,313.0
AverageJonas,myflear,315.0
AverageJonas,notboxxo,36.0
AverageJonas,oscarson10,5.0
AverageJonas,p0wer6_,63.0
AverageJonas,team_vanity07,297.0
AverageJonas,teddy893,318.0
AverageJonas,xBiedron,321.0
AverageJonas,zenziify,258.0
AverageJonas,梓澪的袋鼠,194.0
Hiko,iiTzTimmy,48.0
Hiko,valorantesports2,22.0
