Source,Target,Weight
Foolish_Gamers,Fundy,5.0
Foolish_Gamers,GeorgeNotFound,11.0
Foolish_Gamers,JackManifoldTV,12.0
Foolish_Gamers,JustaMinx,11.0
Foolish_Gamers,Nihachu,12.0
Foolish_Gamers,Philza,16.0
Foolish_Gamers,Punz,7.0
Foolish_Gamers,Quackity,10.0
Foolish_Gamers,QuackityToo,5.0
Foolish_Gamers,RanbooLive,19.0
Foolish_Gamers,Sapnap,11.0
Foolish_Gamers,Sykkuno,5.0
Foolish_Gamers,ThisIsNotGeorgeNotFound,6.0
Foolish_Gamers,Tubbo,15.0
Foolish_Gamers,TubboLIVE,6.0
Foolish_Gamers,WilburSoot,15.0
Foolish_Gamers,aimsey,4.0
Foolish_Gamers,awesamdude,8.0
Foolish_Gamers,dreamwastaken,14.0
Foolish_Gamers,hannahxxrose,14.0
Foolish_Gamers,karljacobs,11.0
Foolish_Gamers,karlnetwork,8.0
Foolish_Gamers,ranboobutnot,5.0
Foolish_Gamers,sapnapalt,6.0
Foolish_Gamers,tommyinnit,15.0
Foolish_Gamers,tommyinnitalt,4.0
Fundy,Antfrost,5.0
Fundy,BadBoyHalo,22.0
Fundy,CaptainPuffy,10.0
Fundy,Corpse_Husband,4.0
Fundy,DropsByPonk,5.0
Fundy,Foolish_Gamers,9.0
Fundy,GeorgeNotFound,21.0
Fundy,JackManifoldTV,12.0
Fundy,JustaMinx,8.0
Fundy,Nihachu,13.0
Fundy,Philza,18.0
Fundy,Punz,5.0
Fundy,Purpled,6.0
Fundy,Quackity,14.0
Fundy,QuackityToo,8.0
Fundy,RanbooLive,21.0
Fundy,Sapnap,19.0
Fundy,Slimecicle,4.0
Fundy,Technoblade,10.0
Fundy,ThisIsNotGeorgeNotFound,7.0
Fundy,Tubbo,24.0
Fundy,TubboLIVE,9.0
Fundy,WilburSoot,22.0
Fundy,aimsey,5.0
Fundy,awesamdude,5.0
Fundy,dreamwastaken,22.0
Fundy,hannahxxrose,5.0
Fundy,jschlatt,5.0
Fundy,karljacobs,19.0
Fundy,karlnetwork,4.0
Fundy,ranboobutnot,4.0
Fundy,sapnapalt,5.0
Fundy,skeppy,13.0
Fundy,tommyinnit,23.0
Fundy,tommyinnitalt,7.0
GeorgeNotFound,BadBoyHalo,9.0
GeorgeNotFound,CaptainPuffy,4.0
GeorgeNotFound,DreamAlt_,4.0
GeorgeNotFound,Foolish_Gamers,4.0
GeorgeNotFound,Fundy,6.0
GeorgeNotFound,JustaMinx,5.0
GeorgeNotFound,Nihachu,6.0
GeorgeNotFound,Philza,7.0
GeorgeNotFound,Quackity,14.0
GeorgeNotFound,QuackityToo,7.0
GeorgeNotFound,RanbooLive,20.0
GeorgeNotFound,Sapnap,16.0
GeorgeNotFound,ThisIsNotGeorgeNotFound,12.0
GeorgeNotFound,Tubbo,18.0
GeorgeNotFound,TubboLIVE,7.0
GeorgeNotFound,WilburSoot,14.0
GeorgeNotFound,aimsey,5.0
GeorgeNotFound,dreamwastaken,29.0
GeorgeNotFound,hannahxxrose,7.0
GeorgeNotFound,karljacobs,17.0
GeorgeNotFound,karlnetwork,6.0
GeorgeNotFound,ranboobutnot,4.0
GeorgeNotFound,sapnapalt,7.0
GeorgeNotFound,skeppy,6.0
GeorgeNotFound,tommyinnit,24.0
GeorgeNotFound,tommyinnitalt,5.0
JackManifoldTV,Antfrost,5.0
JackManifoldTV,BadBoyHalo,14.0
JackManifoldTV,CaptainPuffy,10.0
JackManifoldTV,Corpse_Husband,5.0
JackManifoldTV,DropsByPonk,4.0
JackManifoldTV,Eret,4.0
JackManifoldTV,Fundy,10.0
JackManifoldTV,GeorgeNotFound,17.0
