Source,Target,Weight
t1_roach,lck_korea,78.0
t1_roach,lol_woolf,57.0
t1_roach,riotgames,42.0
t1_roach,t1_cuzz,81.0
t1_roach,t1_ellim,51.0
t1_roach,t1_keria,65.0
t1_roach,t1_oner,96.0
t1_roach,t1_teddy,55.0
t1_roach,t1esports,26.0
t1_roach,t1moment,16.0
t1_roach,t1zeus_,29.0
t1_roach,tmxk319,18.0
t1_teddy,canna,32.0
t1_teddy,faker,53.0
t1_teddy,gumayusi,27.0
t1_teddy,lck_korea,42.0
t1_teddy,t1_cuzz,72.0
t1_teddy,t1_ellim,33.0
t1_teddy,t1_keria,62.0
t1_teddy,t1_oner,16.0
t1_teddy,t1esports,32.0
t1esports,bang,5.0
t1esports,canna,41.0
t1esports,clozer_t1,16.0
t1esports,faker,53.0
t1esports,gumayusi,38.0
t1esports,lck_korea,21.0
t1esports,lol_woolf,42.0
t1esports,riotgames,22.0
t1esports,t1_cuzz,34.0
t1esports,t1_ellim,48.0
t1esports,t1_keria,32.0
t1esports,t1_oner,44.0
t1esports,t1_teddy,26.0
wildriftesports,riotgames,31.0
qcnb123,baalzebb,18.0
qcnb123,faker,49.0
qcnb123,lck_korea,20.0
qcnb123,magenta62,22.0
qcnb123,obm1025,30.0
qcnb123,slemf4062,9.0
qcnb123,tmxk319,9.0
baalzebb,agueppo,25.0
baalzebb,byeongbyeongbyeong,31.0
baalzebb,faker,33.0
baalzebb,gongparipa,14.0
baalzebb,hm716,74.0
baalzebb,jaewon4915,40.0
baalzebb,lck_korea,56.0
baalzebb,liok0485,54.0
baalzebb,paka9999,29.0
baalzebb,qcnb123,20.0
baalzebb,ringkyu1123,13.0
baalzebb,rkdwl12,33.0
baalzebb,tmxk319,36.0
baalzebb,volibear_oyo,28.0
baalzebb,wkgml,30.0
baalzebb,wnsldj0610,29.0
agueppo,2chamcham2,38.0
agueppo,ailee_official,47.0
agueppo,ao_o5,28.0
agueppo,bgirl_0,17.0
agueppo,cherrypach,21.0
agueppo,dkwl025,9.0
agueppo,gongparipa,9.0
agueppo,ju10506,13.0
agueppo,kuiki771,21.0
agueppo,kumikomii,36.0
agueppo,ma_mwa,15.0
agueppo,magenta62,17.0
agueppo,mmange2,5.0
agueppo,nanayango3o,6.0
agueppo,obm1025,11.0
agueppo,pjs9073,15.0
agueppo,rkdwl12,5.0
agueppo,rngudwnswkd,11.0
agueppo,s1032204,11.0
agueppo,sah_yang,13.0
agueppo,snow_hite,10.0
agueppo,som0322,23.0
agueppo,wkgml,22.0
byeongbyeongbyeong,aba4647,5.0
byeongbyeongbyeong,agueppo,9.0
byeongbyeongbyeong,baalzebb,12.0
byeongbyeongbyeong,box930205,21.0
byeongbyeongbyeong,hm716,23.0
byeongbyeongbyeong,jaewon4915,27.0
byeongbyeongbyeong,lck_korea,8.0
byeongbyeongbyeong,liok0485,20.0
byeongbyeongbyeong,paka9999,8.0
byeongbyeongbyeong,qcnb123,15.0
byeongbyeongbyeong,qq102qq,6.0
byeongbyeongbyeong,tmxk319,14.0
byeongbyeongbyeong,volibear_oyo,12.0
byeongbyeongbyeong,wyskah123,14.0
gongparipa,2chamcham2,28.0
gongparipa,ao_o5,12.0
gongparipa,bgirl_0,15.0
gongparipa,h920103,11.0
gongparipa,jaewon4915,18.0
gongparipa,obm1025,17.0
gongparipa,penyo_,23.0
gongparipa,rainblue37,18.0
gongparipa,rkdwl12,24.0
gongparipa,wkgml,24.0
gongparipa,woowakgood,22.0
hm716,baalzebb,25.0
hm716,box930205,27.0
hm716,faker,21.0
hm716,lck_korea,22.0
hm716,liok0485,31.0
hm716,lol_woolf,21.0
hm716,radiyu,40.0
hm716,ronaronakr,25.0
hm716,tmxk319,34.0
hm716,volibear_oyo,27.0
jaewon4915,ajehr,26.0
jaewon4915,box930205,23.0
jaewon4915,hm716,26.0
jaewon4915,hongja1027,22.0
jaewon4915,rulrudino,9.0
jaewon4915,swon5274,5.0
jaewon4915,tmxk319,15.0
jaewon4915,uzuhama,7.0
jaewon4915,wkgml,11.0
jaewon4915,woowakgood,12.0
liok0485,ailee_official,22.0
liok0485,dda_ju,5.0
liok0485,faker,9.0
liok0485,hm716,12.0
liok0485,lck_korea,18.0
liok0485,lol_ambition,13.0
liok0485,qq102qq,5.0
liok0485,tmxk319,41.0
liok0485,wkgml,16.0
liok0485,zilioner,15.0
ringkyu1123,lck_korea,17.0
ringkyu1123,riotgameslatam,6.0
rkdwl12,2chamcham2,6.0
rkdwl12,95pingman,13.0
rkdwl12,bgirl_0,23.0
rkdwl12,box930205,22.0
rkdwl12,dkwl025,30.0
rkdwl12,gongparipa,13.0
rkdwl12,rainblue37,36.0
rkdwl12,som0322,27.0
rkdwl12,wkgml,15.0
rkdwl12,yeunda,20.0
volibear_oyo,ao_o5,37.0
volibear_oyo,baalzebb,18.0
volibear_oyo,box930205,10.0
volibear_oyo,byeongbyeongbyeong,22.0
volibear_oyo,faker,16.0
volibear_oyo,hm716,37.0
volibear_oyo,jaewon4915,13.0
volibear_oyo,lck_korea,18.0
volibear_oyo,obm1025,28.0
volibear_oyo,swon5274,21.0
volibear_oyo,tmxk319,27.0
volibear_oyo,xordn123456,42.0
wkgml,2chamcham2,19.0
wkgml,bgirl_0,32.0
wkgml,chodan_,35.0
wkgml,faker,15.0
wkgml,gosegugosegu,27.0
wkgml,handongsuk,31.0
